Regional SAM Balances IO Aggregated Accounts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipts,Description,1,2,3,4,5,6,7,8,9,10,11,5001,6001,7001,8001,10001,10002,10003,10004,10005,10006,10007,10008,10009,11001,11002,11003,12001,12002,12003,13001,14001,14002,25001,28001
1,"11 Ag, Forestry, Fish & Hunting",1559372.8969789294,75.17922439401147,31.842773490149114,15059.035814736153,7577457.1876103785,119.00910990701344,320.58491186729316,1945.8205500074198,18689.424951997171,37825.613034525319,100.37483106511284,,,,,43796.609416705687,41170.889298994443,110683.62676242847,123451.85026963786,176315.5199098184,248552.28460953425,150677.89396225987,126370.1586721057,82145.287752892575,0.26262515940361852,169.85211517379696,0,165834.3230712236,1714.9309025413552,0,,0,22628.488612709145,4408846.6624225322,11454021.028151862
2,21 Mining,8846.1936603122958,6015568.7111041313,43334.763339099249,516739.2394911492,1559303.5180649385,6798.6458482121443,194269.03052111802,11840.921622349424,73849.308825681554,36479.440937290754,6900183.4023892563,,,,,10404.864123442809,10006.897117574763,32530.246335521329,39212.217243527215,57915.223722153307,81535.877578586034,47993.087859945022,37352.729040883482,19064.475982169944,613.46973657205058,10164.305668067882,0,390332.73245773854,650.55250017387641,0,,3368422.3923393558,235756.15196788366,2602056.3574786955,10779664.139522066
3,22 Utilities,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,7292387.0086669922
4,23 Construction,6082.5003352721187,283626.26698630292,49947.784540177228,7136.2364963020818,985645.05200339621,19144.02821770489,42690.254926707079,58109.699704123232,1749472.9882674548,130302.08018702587,11351410.872575991,,,,,0,0,0,0,0,0,0,0,0,16167.115697741419,67525.603954181948,292832.68929671356,3575791.9058449706,1959.3861954985414,10022118.11379713,,58350178.052173696,0,22022.459597792818,111318.82463814791
5,31-33 Manufacturing,275000.24656671385,6539.6533276940881,11035.72833740528,323415.66621154948,4709836.7360639796,170979.24862564504,24441.58257478214,346531.07761421858,375867.27812604723,363609.1708153105,654448.543124691,,,,,23656.345114839907,17761.678729241339,68953.597758280768,81174.605351278267,111252.48141973846,162948.70888685787,103963.8779517576,94237.423498099961,69488.985393105322,717.64067963226205,13731.461037434512,1312.9616038649406,440718.5765239335,14069.834851852638,7040.4965255933866,,1162592.8903137029,41912.592873819478,90214549.210591421,466549067.31287849
6,42 Wholesale Trade,165192.76786508702,209971.34635239578,47738.295001890307,1537282.3879191913,12539607.925989101,347699.73334747559,259528.97360477047,314184.42665779189,495651.24126041919,807775.20705476357,955385.13812887785,,,,,362338.01984051161,257948.24251751474,1055341.5097983009,1196816.4535893963,1395020.7622791114,1863618.917171123,1139006.4953209416,1145055.5827953059,849478.95291396009,4305.1231739091518,51917.348563923973,24201.686582194787,1145051.813812478,21.000817597136873,36759.129146438245,,1442678.5104225238,38752.713930966034,4802706.7184448233,632494.92645263625
7,48-49 Transportation & Warehousing,78385.088473925716,353575.07706865569,136781.87422548226,762664.87082654587,7462519.3305794783,648320.32439198578,737576.05113612348,1231992.8555648446,827041.20203880523,570666.68736786395,1512420.3198510257,,,,,226029.37122594129,140492.4617566152,541969.4324566999,646349.29312607669,878265.11578096158,1362616.3191327727,879869.88707929803,900602.7107044803,817682.16117236577,12571.248261175022,154464.7848960509,4368.1291914652256,1619470.0516534166,69485.850952838344,8392.7724576221844,,418924.14645223017,26537.856067676541,3693885.0828889841,944768.62505957019
8,44-45 Retail trade,8573.592451351562,15450.557018965163,31280.848281026105,10237615.298421554,1721494.2956050667,30754.623286183705,219527.75291261447,337289.43801646761,1325378.5961621956,1055436.6044921787,,,,,,2121013.4469280667,1509948.3954375438,6177639.244776627,7005789.1550861867,8166015.5237905039,10909042.537986508,6667387.7747253766,6702797.1864068918,4972584.3003688958,133.40249064267272,58.505642735467688,0,39734.638868476082,19961.234283390841,0,,2674485.8678650004,0,0,9002716.5412902832
9,51-56 Professional Services,87900.883205974824,612887.43428586912,379195.21438975184,1458576.8402901404,6631241.3406960834,1713861.9000766559,1070785.6151456598,3983370.3913917285,23034133.801766019,8730056.4651188496,15677399.216098158,,,,,5078214.7930927193,4326391.5629511373,13130126.701557163,15265448.947633188,21772545.277361985,31035368.828576028,19749668.835813366,17379568.681951221,12040961.040382039,38598.700187487942,378849.69171402545,1531436.5295391379,8370754.3109176494,587210.72858605883,384901.63442685467,,14251009.650755549,129.67578011470792,5231850.8055205829,5597046.4395261975
10,"61-72 Educational, Health, Recreation Service",28840.408216816813,62588.500099395533,66969.124156324193,294251.41708830139,2789735.2890498736,357597.83397143637,202571.22964071992,491934.34232794115,1408875.0529533774,1803535.0253618462,1667109.5355031227,,,,,3684961.2856532177,3570698.5591773153,11085682.182062712,12877419.160715958,17820750.417361796,25457224.929556496,15704053.955476163,13919762.409931339,9279602.0871208757,9770.1765187801848,49839.959716107529,0,3143421.0391363427,316651.28119259613,0,,222472.22697334315,0,287977.97177088994,27824451.109800581
