Regional SAM Balances IO Aggregated Accounts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipts,Description,1,2,3,4,5,6,7,8,9,10,11,5001,6001,7001,8001,10001,10002,10003,10004,10005,10006,10007,10008,10009,11001,11002,11003,12001,12002,12003,13001,14001,14002,25001,28001
1,"11 Ag, Forestry, Fish & Hunting",1056828.9497353153,690.50554082314864,74.55919194685589,72682.944466438246,580122.09116284235,78.70535575529945,297.50859669011152,1686.4565766702306,29013.708516023155,45125.954991638268,18.758035364467855,,,,,21199.044458703418,15890.410266300434,35263.409450534309,38292.308916395123,65113.711617233195,105090.39464928783,71134.819675849722,93651.13173422715,58531.489311330224,1.0522280988134596,73.483404638268922,0,185268.28799068453,4239.2122653342994,0,,0,8919.3507900381192,4111170.9026685348,22344152.707606453
2,21 Mining,1556.7012375929501,6220903.2289574184,6628703.978106699,31840.473951178355,36862.01891536011,2985.802534558879,221823.47484927438,5625.840957174325,188476.07005148733,145980.8895718648,84460.445480530776,,,,,5412.8484724250711,3875.480356191109,10569.543943308308,11466.607477093601,20150.157549285341,30886.491945204034,19967.27157504798,22680.671044104765,9546.1203969580383,820.7906724099106,2821.4897627175083,0,31855.509879033158,732.08918841402044,0,,2896937.4425052241,190980.05726057573,241695797.27038148,766458143.05756342
3,22 Utilities,8524.8472341928136,11372561.018302882,19281503.208677046,221219.56665438056,789427.29029555805,249829.60918873065,157766.33979889136,1107172.1911411546,2154671.0394556671,2134046.7966870279,35160962.41730503,,,,,566551.96313223091,438571.38025134441,945303.28421328356,912330.3670044454,1449894.7560854072,1915632.2034700497,1140860.7917365951,1266451.986697674,605860.97321010951,6801.4489201366732,13306.333609833737,0,49268.606799521738,679808.11841766874,0,,0,0,159535.72765922881,265859135.79990479
4,23 Construction,26814.640371486366,1302042.4772630362,3309272.8130541905,144484.34369754695,1933272.397889856,427477.97987736645,1440581.0473731051,1405201.6783985226,26436336.42841848,4329765.0563841444,2033733.0607941777,,,,,0,0,0,0,0,0,0,0,0,1023619.151846956,514170.74305573583,1029700.2926188125,13095821.347497311,108947.50582557147,51615319.534550928,,180231385.40448493,0,80068.947281688423,9668605.4528690875
5,31-33 Manufacturing,23507.164239370028,1360536.5253211642,36820.738541859464,1822297.4607775565,1673377.6775028645,133418.01668730725,122674.92256820989,295037.51446435624,981432.24183285376,978221.18356650369,10684.34962069969,,,,,161255.34358370898,108621.90041984685,254051.39458071158,248195.48622530894,415986.31904304563,618497.51415017061,410863.6570004567,489824.0284160857,249009.1008878556,3895.5947367869703,5528.1525032061145,370.15144402951154,67996.183915093934,48115.05374995889,2156.9555838624483,,40759.11931142112,129428.63575771745,52108804.441512518,284751738.06570417
6,42 Wholesale Trade,501426.04916429694,11638252.827267477,785457.68749678333,7299750.0377889713,13423037.972127128,1927056.5002279482,2975592.8460584115,1850077.0422407955,5202563.859722022,8342228.2327725785,556544.79158056434,,,,,2354835.4099093606,1251329.2004135554,4274021.0250075683,4367807.3098076852,6052484.0405011531,8818862.7691275291,5926884.4403297678,8739811.6102212407,5440992.3642879231,121161.17750008717,175888.81161397591,178444.21957297766,1872919.3766967142,289.82989494586377,507308.52708210336,,8497397.8811661098,255228.27628920969,18187206.268310539,1483242.0349121098
7,48-49 Transportation & Warehousing,363430.18292688922,933208.42590449308,6541940.3112627771,5151937.1152706407,7538944.1954663955,3830369.4337256444,8121092.270192679,9199233.2168745436,7784734.2010898022,5647338.4875374278,668338.29602083238,,,,,1480530.8117832935,694408.81972002122,2345388.6733905012,2529869.4490172854,4075865.1294429167,6846588.5726156188,4870585.8293697946,7167199.8383279759,5297485.8407248426,343438.26427139353,529642.78450992331,44444.585464470641,2281202.5106767081,1152107.3411475348,172710.61408118508,,3600471.8769814679,515623.0701824748,26400314.922419559,51398304.955645315
8,44-45 Retail trade,13208.871792687303,767967.89348675171,368670.51674868655,29005524.574850734,1871266.5943600368,119476.64368563388,1374739.4199317575,1481209.4193129414,5316044.7314815717,6013861.5191484867,19956.042105592638,,,,,9908898.8443630766,5265461.199760654,17984628.255279079,18379271.517358087,25468213.170304518,37108841.189138561,24939702.200967126,36776203.461791478,22895121.502890538,2660.4423104852931,144.08574076099492,0,55940.202669987542,133446.36317630933,0,,11231550.406420033,0,0,35152589.797973633
9,51-56 Professional Services,265330.28954980848,33421478.922756508,6471495.8011718709,13498724.543804616,19313601.247772675,13420988.590253981,13059289.990175858,28371697.796712361,210266188.82295156,83181069.962140262,2635432.3342773905,,,,,24912848.813834891,16313439.234834585,41104435.026954181,42925431.478781492,72136159.047301918,110654950.81973267,75542019.442023113,96103093.796222493,55214946.165483594,1510554.3640680646,2274878.2550254567,4074795.2702206392,17430185.334497653,8716485.9443081617,2254575.6513900859,,44688811.09468098,274814.40411509678,43231470.460178167,137296452.25963935
10,"61-72 Educational, Health, Recreation Service",66130.797181787697,347657.44918675296,1163468.8631835992,1158933.9145606826,2642938.3648740463,1657718.677662957,1272000.7546194717,2246954.92297306,14456253.933309125,19124610.338360704,443742.67977701052,,,,,27169896.152235903,20477517.070729561,53808662.356023207,55947839.820752122,91043021.040523335,140195401.06426776,94397423.17945531,121324913.61485775,65868786.904960372,381571.28053773066,180457.2771414532,0,4566772.9181535058,3921289.1243640273,0,,253054.73953101478,0,1010482.1365202244,221330270.43985656
11,92 Government & non NAICs,18511.663327624221,18464061.354993824,1437437.7414232313,423099.13705475349,1565671.265952219,1625260.7262501537,2484511.5528385476,2926262.275269039,5678802.0537858363,6311700.8297511032,1451610.9362992507,,,,,1265637.5061524627,933582.74616893404,2097843.2356073568,2070846.6675171675,3302985.4365914017,4596805.763826102,2847351.3098914498,3447880.1229507537,1940671.3695065121,19733993.395403411,24148920.332166094,0,80704645.240471944,237990497.02823737,0,,37157.576119961603,0,341755.55089182098,12214533.955645416
5001,Employee Compensation,6444611.7380866781,175657989.16760832,30453507.436439395,70109506.845474243,57115969.948237762,36675777.435302734,41857413.291931152,97303368.926048279,181182531.31210804,421786217.3486501,324090692.75856018,,,,,,,,,,,,,,,,,,,,,,,,
6001,Proprietor Income,6024208.1134929322,4171124.8997598886,104586.16726100445,22373505.026102066,397354.03074882925,1118434.1907501221,1719665.4062718153,4824953.8969248533,20353045.95483467,26817868.275160436,0,,,,,,,,,,,,,,,,,,,,,,,,
7001,Other Property Type Income,5401840.545295272,319883857.13100433,38486963.840201497,30791705.548763275,25069435.219691515,22620449.066162109,15817468.419671059,22442651.927471161,352385341.77641845,47426091.675006315,61365954.8163414,,,,,,,,,,,,,,,,,,,,,,,,
8001,Tax on Production and Imports,1266439.0145655489,24769615.046214312,33672039.635945112,2045123.4206557274,3546257.4967532419,15834589.958190918,6244566.8466389179,57257683.873176575,68319535.898510367,44710466.681513935,-653780.28922714293,,,,,,,,,,,,,,,,,,,,,,,,
10001,Households LT10k,,,,,4024.8866844811801,,,,,,,6106540.236415037,0,2242200.0169754028,,2961.2651560455561,2069.4443956017494,9219.2962765693665,12992.817908525467,23818.230256438255,45540.858060121536,50239.697098731995,92223.845422267914,240445.70326805115,15998992.621898651,0,0,5522825.4795074463,0,0,1538321.6142654419,86502753.957960531,88.086720910880501,5715.9770410700648,247401.31296397798
10002,Households 10-15k,,,,,1996.7919002402748,,,,,,,6593089.759239383,96607.581040754652,1421404.842287302,,1875.7969373837113,1310.8779676258564,5839.9117551743984,8230.2279770374298,15087.525360286236,28847.603127360344,31824.056059122086,58418.679982423782,152308.98559093475,28306877.374649048,0,0,9493866.2052154541,0,0,974441.23029708862,29947084.408415683,43.700820575087739,2835.7609921232665,252972.9032540381
10003,Households 15-25k,,,,,5745.1735912551185,,,,,,,33718033.10746029,1269119.8236089798,5771810.5167150497,,7613.432127982378,5320.5545991659164,23702.871054410934,33404.618501663208,61236.824840307236,117085.84427833557,129166.57328605652,237108.11138153076,618187.42752075195,64360122.084617615,0,0,21568072.855472565,0,0,3955034.7328186035,69896795.04403913,125.73608709748935,8159.0571161159005,1266849.4539024797
10004,Households 25-35k,,,,,6191.4509919756492,,,,,,,54488535.963446341,2405240.4654944902,7459806.4422607422,,9836.406446993351,6874.0532733500004,30623.648315668106,43158.117681741714,79116.791486740112,151272.63963222504,166880.71191310883,306339.05529975891,798686.14673614502,57433244.943618774,0,0,19219965.577125549,0,0,5109827.995300293,63605055.693863846,135.50309817824225,8792.8417606134881,2028616.3299756246
10005,Households 35-50k,,,,,11255.461976760553,,,,,,,130372712.02828656,6424136.9909684453,15305599.808692932,,20173.743367195129,14098.175801336765,62806.844711303711,88514.111936092377,162262.6930475235,310249.00078773499,342260.03289222717,628278.79190444946,1638046.3838577271,81714924.812316895,0,0,27027787.208557129,0,0,10479880.332946777,75507970.384064093,246.33159032593633,15984.540010495599,4832371.4816665193
10006,Households 50-75k,,,,,24278.100914750401,,,,,,,268516181.97743708,13527183.888171978,27447140.574455261,,36148.406565189362,25261.875241994858,112540.70699214935,158604.38346862793,290751.09958648682,555920.95851898193,613280.05790710449,1125784.0394973755,2935140.3713226318,99177063.465118408,0,0,32184888.362884521,0,0,18778417.587280273,98863202.586685196,531.33875986361591,34478.751405490475,9959372.6355571132
10007,Households 75-100k,,,,,16823.867687261252,,,,,,,212704919.41738319,11117459.367618008,24895419.955253601,,32755.304127931595,22890.646010637283,101976.96834802628,143716.84193611145,263459.4738483429,503738.93976211548,555713.951587677,1020111.3224029541,2659630.5370330811,57527935.028076172,0,0,18373466.968536377,0,0,17015764.236450195,52426092.841685034,368.1990211857086,23892.558718030534,7874813.4396617832
10008,Households 100-150k,,,,,18942.46737288397,,,,,,,305213053.9545275,17490577.616374344,44168781.518936157,,58008.290827274323,40538.392961025238,180597.00727462769,254516.6015625,466575.86097717285,892100.93021392822,984146.53539657593,1806575.0598907471,4710096.3592529297,61864035.606384277,0,0,19583127.975463867,0,0,30134216.30859375,50552316.280800372,414.56566796582371,26901.30607206907,11268376.373537762
10009,Households 150k+,,,,,9835.1277319770215,,,,,,,245295305.99243152,31672456.071641877,63097832.679748535,,82494.333386421204,57650.163769721985,256829.32138442993,361951.3213634491,663523.49519729614,1268668.0555343628,1399567.3656463623,2569153.3088684082,6698287.9638671875,42406673.431396484,0,0,13748380.661010742,0,0,42854251.861572266,0,215.24684284650746,13967.44025831344,9023788.989280371
11001,Federal Government NonDefense,1101.0798009879559,426.64173521860494,1393.7953738791946,8836.0441392727207,60084.602705327765,60.340483656652388,85.987804651108377,204.61789948037756,2325.5017297500749,4366.6546315736259,137.80312781018725,174944015.50292969,3901964.1563877393,4483164.5488739014,40259692.527099252,-3258495.4088451066,-1819954.914144994,-7182072.745430707,-4921190.2612680476,841026.5665458939,25468976.124667589,32617697.847571127,56959873.0182686,120174221.82833824,36.61425202329076,29.831440489413094,0,5793.8562209106767,3198.7656752608204,36.851297998289567,77296700.477600098,190428493.035521,16.940007615858917,134192.45946694419,318663.15271606762
11002,Federal Government Defense,0.0018651016059850339,0.036973891986986231,0.84028747364968681,0.4057386269664317,,,1.9343230107746932,0.019493499716524209,0.13354615541771225,4.1905295159245499,0.045484214043299234,,,,,11.796816840818796,6.2704337947372544,21.398589286652509,21.851816553115682,30.209799862285923,43.973484871949047,29.524831327105694,43.587928750518017,27.105636212496648,36948978.424072266,0,0,0,0,8.9831867514817532,,0.93493281383416615,0,0,1.4907011558827967
11003,Federal Government Investment,0.010666195083318033,0.21144732472333142,4.8054594405233377,2.3203493762346206,,,11.062060383663365,0.11147996986643545,0.76372747830010612,23.964917072519096,0.26011639185791163,,,,,67.463965170889722,35.859531672203389,122.37484923438878,124.96677796666928,172.76464602525331,251.47679173748264,168.84742886200482,249.27186263680829,155.01246836750559,15354487.419128418,0,0,0,0,51.373298941843927,,0.055462807679873549,0,0,8.5250633469784187
12001,State/Local Govt NonEducation,98361.076314372942,454484.27628525579,189853.44988391362,334570.52006305667,711462.34533416503,248447.77150015836,266902.18690048758,758408.13874568266,2382425.8974711839,2459642.730397,75551.580020385794,4725198.2688903809,0,7867200.0169754028,216752845.05583829,5889353.0960460827,3341821.8494103686,8642572.0357710309,9489949.3910721131,17938257.746438965,30659856.381377131,24214344.632374153,35233560.227963239,32785830.680951133,114674572.17799904,33329.299853434968,0,2245427.4189436752,292730.16793046385,0,7227121.5915679932,106733747.55055952,6168.3430578149246,985760.61122765427,30203474.18595634
12002,State/Local Govt Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,256515869.140625,,,,32355658.292301029,,,
12003,State/Local Govt Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,68949645.99609375,,,,,,,
13001,Enterprises (Corporations),,,,,,,,,,,,0,,303450897.21679688,,,,,,,,,,,0,,,0,,,,,,,
14001,Capital,123.29884877621586,2444.2841623976028,55550.045000021608,26822.72399984462,180640.37344127332,,127874.96382209283,1288.6837188677066,8828.5202096521334,277029.12453574728,3006.8877808230186,,,427221866.60766602,,779868.46991568396,414528.23038574227,1414626.1072387344,1444588.2283422581,1997120.9787321514,2907015.9202003111,1951838.8173932529,2881527.4289789642,25945616.59440472,0,0,0,0,0,593865.31221038755,88086919.248104095,0,7302018.4812404318,351668192.56565064,451796317.27397913
14002,Inventory Additions/Deletions,478.97925096046532,8912.6104804557144,149.14162342594594,11628.874049019185,22677.186919174208,86.383760784212058,1313.1047373869658,267.75093588221034,2625.0228408207754,1456.1408541774299,41.662128588361099,,,,,287.62031128127575,217.18093119079941,492.0273112700138,540.975352518911,905.21413716659936,1456.9817578089553,983.50178853738976,1317.0719555098378,847.79658652062017,11.006440520401752,2.3054609424197392,2.1992211444764589,109.6945970294322,142.5703169802822,9.3516985928567902,,174.98331904236716,0,2449487.4393882435,8449181.1919971667
25001,Foreign Trade,1689746.1102609749,67812921.009987444,51421516.493493043,18863974.53152575,33813087.556665845,2451021.7785075135,14126962.35069821,3837769.2306021838,36598445.837389745,27635127.390755478,1874616.1832509735,,,-1601218.2235717773,,16034106.74665227,11573787.719749061,31593390.748918261,32864804.284993246,53790618.445364952,85710127.163835034,57855872.747699328,72554414.500446469,40688638.821199894,7605520.0312635908,2588590.1134522068,1324104.1884048069,7815312.941375616,3256213.8771702074,2638184.9983550538,,54826827.615307987,1460482.7431782524,0,
28001,Domestic Trade,5672431.7686371254,346390723.92009681,148236579.29700694,96760448.712554932,175168522.47786868,30664575.114317596,66134114.696333535,56337843.622439757,280836023.64082897,239085526.33480975,10240329.498211917,,,8459853.4439610373,,31104241.846544612,18205810.399630748,44939239.115210138,45942921.28544277,74335722.430156678,114853461.53281796,76200142.022249624,98807211.427769631,63853713.281238027,4233111.840895405,6481449.8617311073,8704078.0145519394,45326814.84224198,32563284.441257872,11165417.843357852,,203965827.59570614,809956.95966396434,,
,Total,28944611.893845975,1024981859.864737,348646991.1668337,300156619.08629268,347553105.68353653,133008102.72442564,177526750.37819564,291654599.15385687,1220565647.3502302,946457769.76267231,440062035.31709212,1442677586.2084467,87904745.961306632,941691759.96602643,257012537.58293757,118648375.34827535,77394964.222869068,203052693.84301946,213358200.77772245,354959559.15938234,574366171.1677705,407280949.86514747,549713899.01208782,461480832.83093244,710735103.84462273,36949233.160471983,15355938.921498824,667923230.70312011,288871527.43292606,68949645.996093735,303450897.21679688,1367089526.8018267,10955805.97015214,742704967.93693125,2345479377.2675314
