Regional SAM Balances IO Aggregated Accounts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipts,Description,1,2,3,4,5,6,7,8,9,10,11,5001,6001,7001,8001,10001,10002,10003,10004,10005,10006,10007,10008,10009,11001,11002,11003,12001,12002,12003,13001,14001,14002,25001,28001
1,"11 Ag, Forestry, Fish & Hunting",2734886.9241975322,6169.9594834773789,483.05217657754042,108334.06605244301,562988.10911004292,1374.1144298694608,94.672411200708893,3410.4286403627011,27813.221186702354,9673.8088531653921,830.06848534858534,,,,,9867.1659068957233,10535.629377885161,26576.379336490831,28171.57418731878,44075.443520252411,76812.849389503739,43660.954011348163,34795.05586213043,17571.746159593102,0.25865063132749805,458.06758854462566,0,62449.686529364204,1981.2366943364943,0,,0,42104.827618671661,5211950.9073378826,67157885.962704331
2,21 Mining,24679.897101498991,1000950.9862894522,39245.835779852743,136666.66309768366,197586.93120695106,5298.6208578201185,58585.461568324761,2581.2081066849187,31397.059882895079,10940.791295694484,376245.04464867711,,,,,7159.3084831043298,7146.527292812023,22151.67172385288,23080.547730093986,37459.701669320617,61663.023718896839,33524.935401491428,22802.815023630337,7588.633036755753,39.815297961440891,3288.3639030850595,0,125990.54547365477,587.09621650186216,0,,1651334.005789465,65045.22982079535,4878032.9929076238,16821315.863292135
3,22 Utilities,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,14701112.747192383
4,23 Construction,18031.74161891704,141217.4207892007,73449.146357170932,3922.1218902504106,514067.98009719449,26175.379591385939,22182.326907264225,36817.489915765269,1160669.0339280756,102390.08095273715,8982852.6856016088,,,,,0,0,0,0,0,0,0,0,0,2247.0586171951481,36024.404508601823,93107.930655015836,2463850.1814336949,1993.1574873513473,9648377.8837442044,,41650182.245929591,0,16392.258869018351,58427.6845329434
5,31-33 Manufacturing,73220.213228380017,7567.964274909541,30195.056059378112,398106.8432888519,8440223.047815768,40061.240925099213,25311.441205873864,28894.296666648093,516308.88170704816,58412.002871134922,257241.90358912028,,,,,3084.6142167023586,2623.265678215324,8977.0652498781801,9241.9057265662032,15133.163249397147,24897.705295026153,14991.082495235542,11531.393710207878,5979.3504339279052,14.832190969326188,8122.5976392619123,269702.73747310735,35588.94742298629,3859.7149351256107,228479.60000890461,,3984472.6503548892,152375.1776246283,317943919.96104181,561204553.12795794
6,42 Wholesale Trade,1731932.2563691516,347519.36228316283,165218.05186099315,1999747.0657218241,32135443.712172996,1118881.3406247534,501700.6988296021,454349.55606073298,945185.79151316197,1101164.2249200787,1802502.9383695533,,,,,668962.8138208302,494998.98326393857,1925853.430152206,1889136.6147405093,2418600.3524377816,3781544.8772883592,2136208.0504765832,1882027.8064287824,919158.82350736635,967.32023949414565,44485.72650036031,16159.139890374923,1239773.449951296,50.277979132382306,88004.894169714331,,1978989.6759133188,145439.1810569728,9819493.293762207,59191.70379637993
7,48-49 Transportation & Warehousing,665683.28987993323,177426.64456155076,210155.65246975576,1002261.7116759662,12965160.205690205,800192.2966820905,863645.98602974357,1309407.4937545557,559127.03121757589,399709.95615472324,1469334.986072572,,,,,155085.87995730678,104127.07696283324,458063.34261998843,479498.29339557496,711495.67443530343,1262852.4919470402,759791.70676193002,633516.35393410758,337556.95055358793,601.23719174111352,42071.280524340116,2692.2092963312325,812476.26802354853,64761.014317106259,21880.143365198302,,589077.65719337715,72383.067145302688,2823983.1509607332,807212.21635281364
8,44-45 Retail trade,33840.865483453999,5158.5881339203715,56587.252958491779,7049211.2628148198,2249125.2581270197,44914.453580367277,324424.53712162195,215096.51303514899,1135333.3885917934,747518.68922623771,,,,,,1634801.2616436074,1209670.9647713136,4706371.4003335293,4616643.2492575739,5910538.7468021,9241281.7046479341,5220432.7052995125,4599271.0098013934,2246226.4482405311,13.455245061758902,28.145846267473019,0,13464.546055343919,36446.327489742893,0,,1571559.2396612633,0,0,10208516.120910645
9,51-56 Professional Services,422737.19789449591,421588.7774753772,744200.53011692408,856102.20705045725,15532240.035215734,3756463.2304658871,1038476.6284915172,3444879.8434952633,21266917.418405574,6456548.3232072275,17505395.473637927,,,,,4712846.7935695043,4182353.7224654672,12108606.548334979,12245534.426373161,19377696.661479775,32620084.975002415,19400346.886839122,15056278.459700527,6905555.1138832094,4336.9199301917633,188122.28777204244,459782.55889684352,4390493.8197288001,741055.16161443316,459614.31017522828,,9892004.1363635287,90.732161978773505,4559901.4524073526,12615435.93591271
10,"61-72 Educational, Health, Recreation Service",139446.09368538676,27236.454233514287,157294.58262468755,347802.54871725332,4513046.9454608895,1023255.5783899353,158988.13453033596,542417.48639881925,2412920.0700546815,1080719.7044508446,2877758.8137114439,,,,,2860455.520270973,2792514.2121515968,8206823.0091260504,8297766.5194687126,12773674.435164323,21687004.815734778,12440941.510085041,9719405.6018030159,4268811.7085180329,2387.7345336032995,29621.083731861756,0,1989404.4367167689,692387.13885264448,0,,8480.2469317144223,0,139060.98991294904,21215266.517338768
11,92 Government & non NAICs,592784.93822384963,284550.88366593327,1048115.4777833719,265631.44066265959,8870113.3687001895,2729698.0388127491,2400349.2331408863,2478241.6968796249,5386847.1461465275,4383153.4973819749,8357828.1712777913,,,,,1681335.4004878241,1640067.4449844961,3929731.7914485135,3734883.6148289237,5393598.3311661575,7921655.6560040675,3858415.4658549237,2617980.8110558568,1206897.0389850775,138958.99489558153,5654955.4329862241,0,50575998.340664461,36508101.962931477,0,,1006097.6532923341,0,1201683.9328397047,183603329.81502909
5001,Employee Compensation,6880403.6942310631,958007.84230232239,2453964.4718170166,7211039.9901866913,143697437.0200187,16249698.638916016,8188086.9269371033,16763284.403830767,24759938.631206751,34409611.330367625,127929610.90803146,,,,,,,,,,,,,,,,,,,,,,,,
6001,Proprietor Income,13988341.083750129,599576.55727339443,279184.90767478943,6812301.1216521263,1530459.3270702753,5597979.5455932617,843960.37459373474,3896621.9164431095,6846505.9734880924,14485242.902441314,0,,,,,,,,,,,,,,,,,,,,,,,,
7001,Other Property Type Income,19844562.814338133,975231.21908307076,2053984.8804473877,2918674.9830842018,60741134.449373931,10022294.998168945,2012338.0720615387,6308294.7880029678,64160132.07915239,7997056.8818953326,23685088.664293289,,,,,,,,,,,,,,,,,,,,,,,,
8001,Tax on Production and Imports,1772144.7078802157,1235509.1590434313,1089967.2508239746,485089.83617648482,8271373.6165314913,8718350.4104614258,281124.53874200583,11769257.52311945,16828982.785184052,9437092.5211696886,-28897306.442260742,,,,,,,,,,,,,,,,,,,,,,,,
10001,Households LT10k,,,,,7581.0055924978587,,,,,,,1506793.9634737992,0,828091.15946292877,,1093.5260215774179,764.19737888500094,3404.4706262648106,4797.9438677430153,8795.5156341195107,16817.174851894379,18552.344292402267,34056.108444929123,88790.975511074066,4504043.3704853058,0,0,1128309.1083168984,0,0,568066.17975234985,22479789.526372768,16.283532914485534,1538.51720072019,179070.38789160669
10002,Households 10-15k,,,,,5237.1766168935119,,,,,,,2265052.738126914,86597.057263919574,730994.13514137268,,964.55926541239023,674.07055757939816,3002.9588378965855,4232.0904321968555,7758.2020312547684,14833.813533186913,16364.343464374542,30039.647594094276,78319.266438484192,11008822.053670883,0,0,2641989.3279671669,0,0,501070.38021087646,10898017.570361972,11.249132688221742,1062.8519145631426,269157.46714597888
10003,Households 15-25k,,,,,17164.117157102915,,,,,,,13195003.973091979,1295831.1729461721,3381136.0448598862,,4459.4104401767254,3116.4048705250025,13883.466832339764,19566.064700484276,35868.20513010025,68580.612540245056,75656.652450561523,138881.17671012878,362090.49820899963,28611103.534698486,0,0,6906720.6978797913,0,0,2316579.8187255859,26729145.427913956,36.86746609873974,3483.3491624794392,1567913.4856515685
10004,Households 25-35k,,,,,17755.139197411856,,,,,,,20468114.800779268,2357314.9566494329,4194613.0096912384,,5530.2749387919903,3864.7656328976154,17217.384651303291,24264.579638838768,44481.448829174042,85049.279034137726,93824.535608291626,172231.525182724,449041.42618179321,24594134.449958801,0,0,5968910.6941223145,0,0,2872873.7831115723,22373942.871239386,38.136945025925975,3603.2933524586529,2432113.0257221702
10005,Households 35-50k,,,,,29821.22859792188,,,,,,,45247995.789315552,5817072.4447676344,7951440.2747154236,,10479.18014228344,7323.2483118772507,32624.796032905579,45978.348702192307,84286.786615848541,161157.7570438385,177785.76910495758,326357.24544525146,850877.46381759644,32492624.521255493,0,0,7872331.8576812744,0,0,5443737.0300292969,22888262.82453249,64.054161614812884,6052.0299826601913,5376529.7579602655
10006,Households 50-75k,,,,,69024.476358039741,,,,,,,100009999.49061973,13143871.128093919,15300999.402999878,,20149.126648902893,14080.972410738468,62730.200588703156,88406.108319759369,162064.68641757965,309870.42188644409,341842.38314628601,627512.15696334839,1636047.4824905396,42647843.360900879,0,0,10300056.338310242,0,0,10467092.514038086,33377238.814558525,148.26032232366885,14008.081494180511,11883561.273360943
10007,Households 75-100k,,,,,40204.500981413003,,,,,,,66601337.094471857,9079916.7601748426,11665513.157844544,,15346.490778028965,10724.709369242191,47778.1742811203,67334.108054637909,123435.84001064301,236011.40081882477,260362.71452903748,477941.78128242493,1246088.1471633911,21073921.203613281,0,0,5144611.3586425781,0,0,7972213.2682800293,14775718.51796307,86.356790936701785,8159.2495285173654,7913795.1291694334
10008,Households 100-150k,,,,,27045.32739729168,,,,,,,57111878.934584826,8534682.3207158912,12365425.288677216,,16237.696632742882,11347.518302500248,50552.766770124435,71244.359016418457,130604.04360294342,249717.14615821838,275482.56516456604,505697.01194763184,1318451.4045715332,13863766.431808472,0,0,3506275.5346298218,0,0,8435177.8030395508,7947832.2771561807,58.091696871012545,5488.6783675531242,6786194.5093937032
10009,Households 150k+,,,,,11016.006505156724,,,,,,,36024918.763044506,12124209.700622454,13858059.644699097,,18115.358427166939,12659.698724746704,56398.481130599976,79482.764005661011,145706.56418800354,278593.42098236084,307338.26756477356,564173.75802993774,1470911.8604660034,7931981.5635681152,0,0,2257727.1461486816,0,0,9410588.264465332,0,23.661703229769376,2235.6289392796552,4280557.0216321293
11001,Federal Government NonDefense,1128.6354778966165,13.075312674788696,6.4930204493764831,204.79350254302142,34.290846314106737,0.7547327523002505,0.41614748885738218,1.5135216475871722,123.88490437952034,161.03156077041729,13.560518455441896,45818855.285644531,2440678.1687459601,2003858.5066795349,1909271.0513333641,-1422866.0157962588,-1107444.3166575725,-4979220.2803457491,-3292567.1425007759,442852.38428174565,16564874.322956093,17876669.341953456,18653591.458139237,30934288.860370364,0.0062972624875334803,0.16253673187800927,0,2345.9257880662622,137.11141085528053,1.65233008227419,16475562.09564209,94889907.116017386,55.800159668639992,11512.147022736155,26600.629344762336
11002,Federal Government Defense,0.0027212736678307037,0.038327309495313162,0.12770084240447455,0.071118905301552141,,,0.051546397510220672,0.0024776161492192491,0.040457692825006185,0.619651426731891,,,,,,2.4192588249629581,1.7906321633452142,6.9606184637479087,6.8228139228450022,8.71473969759694,13.612055012804992,7.6821116904273472,6.7758893784331828,3.3055837787672009,8762553.2150268555,0,0,0,0,1.1249706903989956,,0.26203683489711693,0,0,0.65741840742471092
11003,Federal Government Investment,0.0055720178541648581,0.078478124171990973,0.26147733036965987,0.14562144733675553,,,0.10554522708985291,0.0050731102800924532,0.082840248455774396,1.2687841189677893,,,,,,4.9536191548442705,3.6664575497674994,14.252403503007693,13.97023807019105,17.844102106833876,27.871733174005143,15.729716567195602,13.874156444020155,6.7684379015107776,1321981.1916351318,0,0,0,0,2.303464310266254,,0,0,0,1.3461149266722734
12001,State/Local Govt NonEducation,98552.636909650377,25331.606106985317,17291.82079999199,39564.943550366996,1046287.6351181096,83770.615153606195,28042.773402014787,136097.8117014548,346809.12056692305,127444.83784686484,1010050.3877431325,1251133.0246925354,0,23166322.231292725,29082314.855538111,1762327.497059782,1459305.5255684231,4372358.3284513308,4619683.8023454975,8099474.3993604742,15091816.855680697,9992332.0769389942,8628294.4545189533,6383792.792592356,40173298.162634149,4983.4340772138448,0,948447.06181846722,41232.756179779499,0,1540439.4268989563,45610169.262898237,1221.6056060183689,289357.56245184341,458867.28020413016
12002,State/Local Govt Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,38758975.982666016,,,,4888869.2623613682,,,
12003,State/Local Govt Investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,12462994.575500488,,,,,,,
13001,Enterprises (Corporations),,,,,,,,,,,,0,,64679656.982421875,,,,,,,,,,,0,,,0,,,,1323743.5817718506,,,
14001,Capital,165.65473534142481,2333.1355408499744,7773.6574242654542,4329.2902050869398,278935.72553056019,,3137.8339261873571,150.82233452974728,2462.8204346656726,37720.643209337693,,,,91061065.196990967,,147269.89244382663,109002.8910430218,423720.48906935932,415331.77939198416,530500.81483559252,828619.84711616614,467640.6470928223,412475.29601897841,2283768.2752960431,0,0,0.037552752019109903,0,0,68481.863526828442,,0,599.13675201579952,56608.243641030371,447350970.65686703
14002,Inventory Additions/Deletions,12713.228657148551,329.26530536259031,134.53304052638475,6315.7016824853035,113841.73846523845,244.16263298856842,253.20740194647877,70.043403899575807,1676.7423348132713,413.77964377260577,2171.3637056262455,,,,,37.006356953190071,37.543658102378885,105.2024298586246,114.9726320422001,182.47881005006835,311.50351650079006,180.90680128530471,148.87172643126206,80.16132415364126,0.13799726327943249,1.3805833783442969,0.63605253901042658,471.00976763539796,27.74564002938876,3.6192516953507945,,27338839.628332578,0,763359.34601432492,3331562.9423421682
25001,Foreign Trade,2432754.5348365712,3211050.5784490719,479853.36768885044,4920451.0934028178,117652059.59466265,1348364.202278187,1486380.8606113053,818760.97620679345,4359492.0971090458,3599322.614730841,14541835.649507074,,,-341294.88468170166,,2036728.1318400181,1708896.7439198326,5439280.0064022243,5527109.6720936792,8629546.063527517,15882740.43470747,9254028.9627489708,6901203.8000008119,3235157.2642486976,55236.864038104119,508813.59821627883,652282.43284388504,4002508.6027162019,656499.50395513035,875014.82648915914,,113691278.34817079,14195531.97839129,0,
28001,Domestic Trade,24756945.925822698,16225619.973702831,5794006.4220217569,30486620.497045904,474266684.54045409,20245673.222946692,12324147.245533142,14867840.342221178,80617047.423225284,35960592.703766994,167569547.72961003,,,-50127086.320893794,,17030893.492276542,15885803.70257863,47809208.684330925,47179962.391006254,69694945.906175122,114009713.10628679,63694101.743833609,49162925.460263677,22581635.808826439,59775.026518032479,2241638.3307429939,-171621.95719038416,42324251.141752213,4898725.0393237378,1073132.3540044734,,32948114.167631999,16898299.16142175,,
,Total,76224956.342614755,25652389.570115935,14701112.832124382,65052378.398201279,893803092.51007283,71812690.845243827,30561231.526684452,63076476.161290117,231365690.72353834,120404892.21438199,347471001.90654236,389501083.85784543,54880173.70998022,200718793.82990119,30991585.906871479,31380371.758710675,28564200.959707689,84746220.981436715,86178919.380467057,134822802.40821642,240476546.67992902,146760499.96374783,121213159.70963404,88834697.574847311,237250652.72089884,8762614.297157187,1322105.7254704649,205936416.58570775,43647845.245027386,12462994.575500488,66003400.564193726,544493066.97074866,31573628.859510794,347760887.91911155,1380309143.2652395
