Regional SAM Balances IO Aggregated Accounts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipts,Description,1,2,3,4,5,6,7,8,9,10,11,5001,6001,7001,8001,10001,10002,10003,10004,10005,10006,10007,10008,10009,11001,11002,11003,12001,12002,12003,13001,14001,14002,25001,28001
1,"11 Ag, Forestry, Fish & Hunting",1611071.1083787817,5001.5877944699932,10.330562012559412,151740.87358119927,2024011.7820159833,51.694997677309125,1246.5481278117136,1343.1177007970969,37994.952132914361,113812.14452642447,,,,,,53220.414602085264,46073.275182900004,140519.08964151371,139314.59532291454,248449.50547674537,369536.01581569551,263056.29899675079,261950.88769127245,142822.63448298778,0.43645582678396966,56.483396365449323,0,135373.67053507795,1382.9438822345826,0,,0,37043.907971724271,1635476.8173371134,12595187.186560337
2,21 Mining,30713.657028976275,54415128.021525368,2336669.4969463884,1348753.7869023886,1671717.717702505,47766.999982652065,911651.84432562289,68828.020032698638,189621.99137222438,209222.18584206497,22648.358498539146,,,,,47868.419396195874,42117.036707976695,156561.80759684148,167546.99098126992,309379.6666436044,459340.48489365185,317688.1322325794,292465.43778536236,123200.70964573292,18070.673916916527,35751.252351863186,0,842000.52402871661,1363.6755608208762,0,,7059553.5844259132,1129066.7455574113,12194215.142345795,89781831.46143204
3,22 Utilities,15859.133265930086,1479593.6959787901,6441197.6857592128,181527.59589820431,4905566.3409152608,192108.3765626137,88560.893683074988,908541.50451949146,1375573.0696992946,1272203.8786713209,36556.645925727775,,,,,208202.69552380819,199975.56131375092,593197.07254532084,570757.70285269211,983045.495895789,1256237.422869503,830252.58176507126,768812.26886460045,380592.01474675612,17340.55288726656,11852.605670920028,0,136137.09694937471,283454.80206261884,0,,0,0,78290.488570928661,5234983.8949739942
4,23 Construction,18963.613848780122,6321286.8481422672,309549.15219426726,38810.333399532537,1274284.4294998976,151549.95778701341,213127.26587754127,514405.66918577463,8740989.3639694154,1260506.8163107026,82682.431499110811,,,,,0,0,0,0,0,0,0,0,0,355412.83125834144,114619.33074562415,609380.68269411463,5210879.8583769081,3173.4754424489911,5748410.6006021425,,78753028.028516263,0,29768.9286526293,1718267.7222881471
5,31-33 Manufacturing,33559.87951117006,790519.87613462645,68842.073712125231,1307249.7020589307,5306606.1492239768,98206.340810479276,32662.030822345405,215240.38543877806,491514.08252350084,695434.61176757852,2610.8136831742304,,,,,41858.366312778242,34512.711819747572,109277.01727688663,106918.14239645969,192307.92587613035,287565.9210665244,206787.75930308894,203436.85990474946,106026.38006687345,8512.0241041632817,6694.927764105596,303.15844686700922,279210.88317479339,6191.1275420450038,261.63129639163748,,113771.67585581765,41894.810061929718,53208612.060267113,303426861.08547163
6,42 Wholesale Trade,347675.54213650996,2393577.6525522396,202438.98734954925,4196574.7893204354,16336015.503331618,1422730.6882878139,899041.22950353054,1340491.354466747,2372477.7447242662,3597315.7017944502,45211.867357521696,,,,,677362.90822365682,442122.52231926273,2060039.4755262057,2076248.7285446962,3023597.9135099277,4266005.4150536507,3066612.9264254193,3661737.9985122578,2274498.3565139608,77469.349237986127,72786.517834871847,98578.153487060888,1422229.6155715727,17.581147304882542,30773.451537163099,,4308558.0203591483,184828.29721678008,9650619.5068359338,30036.926269531621
7,48-49 Transportation & Warehousing,150689.00063708716,2896288.459061088,583201.68427380593,1982090.2366596866,6067936.1254148018,1809497.2328099599,3405362.6375193996,3732251.2058286159,1404214.2159381195,1452939.3328671204,96631.716455842601,,,,,161479.41914929962,95980.286029168943,500089.74412564922,536519.96908360999,902500.88444790978,1441968.9944617814,1102010.2978427378,1249159.005954532,848060.27962871641,40997.881332450561,68814.710272317418,15934.468381994362,855756.23149278201,10403.491161052412,7303.5487412556795,,1215356.2713471863,113570.24490745025,4850779.0334275961,8369597.3984308112
8,44-45 Retail trade,6507.7361229858952,101498.62079536216,46921.579206327013,14536545.893871008,1344922.6838246309,68297.057148447624,840055.26083729661,944104.6603356757,1920818.0584499878,2666505.8873255961,,,,,,2235765.9753956189,1459310.1033405517,6799555.0506134126,6853056.7437890256,9979963.6024867781,14080768.139530489,10121943.110532485,12086268.304749936,7507417.300385803,1322.8474232635731,47.962601805817854,0,26142.045160889913,10209.031350010524,0,,4630721.2852097228,0,0,103650394.43969727
9,51-56 Professional Services,170908.21723645742,12401900.935216665,1177003.1634451521,4141628.8550715032,11503802.307698118,6364007.8492714353,2708545.7784736883,14033661.965459097,55813655.419365004,29764104.702649884,417491.50987133838,,,,,5030586.5913886586,4034824.5813289895,13689979.301034214,14063590.61820169,24920633.849336471,36927088.591660433,26964951.364153661,27638479.1008837,15858587.203260556,682235.18330178759,534856.31794216391,2729267.7991241696,7507783.4518129462,442365.37730626663,155895.49629023002,,22407255.521355558,10.019859348805282,9281375.2526064459,26764222.525117815
10,"61-72 Educational, Health, Recreation Service",46942.546206295563,1078234.2039520955,212554.63642245322,666023.38499582093,2137534.466181146,1224751.8252134873,259195.25844670658,1632455.0700651596,4901632.3200462023,6248651.2755872477,211199.22375060688,,,,,5119074.7873981893,4670920.6416307455,16535084.424226014,17031118.50583275,29359919.522402555,44122704.399746746,31933682.015016228,33403790.549424689,18395875.877450507,151828.04301201287,69245.271413771785,0,2828705.6305851946,271919.19976948062,0,,57544.755255011056,0,313778.14708457736,93466466.008628532
11,92 Government & non NAICs,944.53960740359059,949.98196458731536,16629.888731014264,4288.5206243609555,76092.567408204239,619537.81508978526,1066787.2107423304,559827.97124886024,333624.52427040326,708554.3196104879,,,,,,13007.91565912799,8492.795974174107,39537.217091096834,39818.556161065091,57852.254498800656,81542.08156684009,58560.121802033427,70005.716548692144,43435.934648619659,9329054.7718679756,7331692.680187637,0,58949616.193050474,11888640.26375282,0,,0,0,31233.666464686401,1969802.5006800895
5001,Employee Compensation,4691829.4174611215,28221096.202731133,4406110.1675033569,18612606.689333916,49795790.787786245,19223878.860473633,13767495.542764664,69140281.558036804,53951466.90774709,127935617.63316393,76202433.109283447,,,,,,,,,,,,,,,,,,,,,,,,
6001,Proprietor Income,2354972.3172836821,22274417.301639915,132983.77208411694,9218905.39675951,559373.19877557456,227811.94746494293,1986727.7834564447,15289259.038865566,11324118.653894402,16187899.827986257,0,,,,,,,,,,,,,,,,,,,,,,,,
7001,Other Property Type Income,6966938.9719638275,-37636629.372835159,3578680.4556846619,7638839.7216796875,27862304.420210421,11856676.10168457,3632248.6512362957,19473094.47824955,102334212.64326899,20886482.479400001,14489835.262298584,,,,,,,,,,,,,,,,,,,,,,,,
8001,Tax on Production and Imports,436032.99446726852,3738434.8276536912,2128332.0188522339,835829.65563982725,3532500.2076569945,8564146.9955444336,809843.0443496909,34667557.954788208,23882989.136152901,16434838.325716555,0,,,,,,,,,,,,,,,,,,,,,,,,
10001,Households LT10k,,,,,5946.9406318468364,,,,,,,1168496.8769550324,0,546940.33786654472,,722.88705268874764,505.18085481598973,2250.561723485589,3171.7319507151842,5814.3697679042816,11117.172427475452,12264.225631952286,22513.154894113541,58696.221560239792,3622889.4293308258,0,0,905597.12052345276,0,0,375526.21960639954,18258930.545204293,11.235360277187381,1204.7607508288725,15.968677052426067
10002,Households 10-15k,,,,,3623.9564265942295,,,,,,,1549725.3239154816,68536.894349305818,425880.05214929581,,562.45678570121527,393.06611870415509,1751.0948237031698,2467.829966917634,4523.9874161779881,8649.9396711587906,9542.4270257353783,17516.814172267914,45669.775456190109,7857836.9319438934,0,0,1886949.0399956703,0,0,292185.72378158569,7869894.0352999484,6.8466222554117113,734.15908040079239,9.7310185876827298
10003,Households 15-25k,,,,,14223.981777916471,,,,,,,10811707.854270935,1228241.3056587877,2359096.2514281273,,3114.237217232585,2176.3469558209181,9695.5439075827599,13663.996011018753,25048.624724149704,47893.39005947113,52834.957838058472,96987.910568714142,252866.53637886047,24393450.498580933,0,0,5883729.0853261948,0,0,1617787.5995635986,24825095.379320715,26.872903185752843,2881.5648292787932,38.194121225084935
10004,Households 25-35k,,,,,15117.762102000406,,,,,,,17230962.27645874,2295707.8098129407,3007011.8382573128,,3968.1186899542809,2773.0716392397881,12353.930622339249,17410.479485988617,31916.618347167969,61025.109142065048,67321.591079235077,123580.6867480278,322199.13601875305,21487244.188785553,0,0,5203173.5777854919,0,0,2061362.9817962647,22383961.271535084,28.561493096331084,3062.6312836087804,40.594092947465619
10005,Households 35-50k,,,,,28882.370088706797,,,,,,,43327332.973480225,6443878.5068958709,6483792.5732135773,,8552.8166964650154,5977.0322404801846,26627.453044056892,37526.25361084938,68792.536854743958,131532.49025344849,145103.8122177124,266363.73996734619,694462.59737014771,32169234.156608582,0,0,7759896.0995674133,0,0,4443027.0195007324,28131654.289172828,54.56651641482857,5851.1338901632316,77.554707370935773
10006,Households 50-75k,,,,,60325.741155542608,,,,,,,86407447.814941406,13138882.306852665,11258689.105510712,,14839.877374470234,10370.668023824692,46200.934797525406,65111.294388771057,119361.01317405701,228220.26908397675,251767.69495010376,462164.13378715515,1204952.7168273926,37880808.353424072,0,0,9078048.7060546875,0,0,7709036.8270874023,36717724.485573083,113.97144814953113,12221.088069999682,161.98619392673274
10007,Households 75-100k,,,,,44713.380150129058,,,,,,,73207286.834716797,11549953.500770722,10922592.669725418,,14382.898807525635,10051.31471902132,44778.227806091309,63106.261193752289,115685.41824817658,221192.46423244476,244014.76979255676,447932.27314949036,1167847.5141525269,23582388.877868652,0,0,5682384.6101760864,0,0,7471645.3552246094,20734385.992002416,84.475525534467366,9058.2584855966797,120.06400799027828
10008,Households 100-150k,,,,,40766.260437269935,,,,,,,85053081.512451172,14714027.76450037,15691323.697566986,,20625.647157430649,14413.983561098576,64213.752746582031,90496.890246868134,165897.47369289398,317198.78315925598,349926.85914039612,642352.6406288147,1674739.5992279053,20660593.509674072,0,0,5119163.6323928833,0,0,10714635.848999023,15478184.438940758,77.018361460275401,8258.6313826439455,109.46523395100596
10009,Households 150k+,,,,,21118.672963033048,,,,,,,68190056.800842285,26584679.350862261,22363714.456558228,,29266.035184264183,20452.214404940605,91113.843023777008,128407.35912322998,235394.37353610992,450078.01055908203,496516.37673377991,911443.65072250366,2376312.7326965332,14365166.664123535,0,0,3973597.2881317139,0,0,15203154.563903809,0,39.898817560935704,4278.3255913472494,56.707690424302555
11001,Federal Government NonDefense,1019.3334623471255,741.47132618329613,206.8319739279226,4294.4661158788922,20175.704979503502,41.788993062285378,26.222755295161257,153.47246787604558,977.74464735463994,1315.1114380734709,32.855181862495321,63589263.916015625,3532561.7985074911,2591853.2013893127,15781063.353084728,-732039.96785764478,-502195.08601918392,-2704300.1092202533,-1828163.6047022701,325393.68959932541,9617201.4029976875,13175465.151053118,18630318.9124588,39222423.662816964,21.960461824411183,11.580086157836419,0,5430.6651527975182,250.66882720246886,1.9814608485063858,14863774.299621582,85177539.691990212,242.49913705653222,54312.248316942787,118428.89956381318
