Regional SAM Balances IO Aggregated Accounts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipts,Description,1,2,3,4,5,6,7,8,9,10,11,5001,6001,7001,8001,10001,10002,10003,10004,10005,10006,10007,10008,10009,11001,11002,11003,12001,12002,12003,13001,14001,14002,25001,28001
1,"11 Ag, Forestry, Fish & Hunting",8346087.5737238061,2537.4427820972946,1396.7587641710973,5410029.375931818,2786671.5870899823,3494.8497980315929,5206.1763321330054,33802.376247557368,177838.02453090038,106022.15173942711,5.1646666007444093,,,,,61949.646674254538,42586.437093196415,110818.09368314306,137476.47258955138,194220.42218675045,299173.18007845106,221413.31819051015,260620.58966271905,184691.86428276237,70.766746942423339,1456.8981168268504,0,315331.2929113743,5457.661206246662,0,,0,1995820.4834349509,39175312.247645468,139709312.4522683
2,21 Mining,15680.207782502726,3420306.9284874643,5545846.3712007869,451413.71551704413,6144439.8642626051,9832.9675340552276,924602.03069598682,11917.421019483878,111057.1699688943,55915.217840691032,9719.8352076897445,,,,,15726.456492155741,10384.449320584456,31564.195703078192,38253.626762283515,56370.894751495623,81683.873495253298,57477.549047578999,57449.392033039709,26854.295564414668,11084.567972952646,7111.389882746711,0,224387.02253265271,750.20491097744912,0,,4844564.8682066407,35257.915594386795,2868402.0029700329,17884929.300244607
3,22 Utilities,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,606389354.70581055
4,23 Construction,2512682.0331608043,1302103.3027832764,5554383.5273578987,2073674.311471567,29345116.703837175,1564088.0084374822,1729147.400480523,3861439.1517796912,56851597.048333608,10974511.679315226,640251.46948857466,,,,,110094.10937463411,70690.17517543718,178803.56564816178,207898.69820820246,301468.64541329857,454691.98648223153,337978.43676805962,376680.67388048687,233420.26284857676,5005387.1012042537,882854.79383493541,6443749.4480134668,34978467.414611347,111360.44956247188,79851911.62754187,,404874685.61292386,1381975.3122846072,5007866.457505404,67406288.840340674
5,31-33 Manufacturing,2903635.7938380768,453472.28962773923,7147330.0110493079,30789884.838272579,127491307.12945461,2482485.355699223,26309071.87020199,3378935.3053066428,10192984.975283103,10952998.470950009,1372255.1121675551,,,,,2579122.6100953226,1673757.5442121553,4991488.6052852124,5942767.0411155764,8691172.4587108176,12539048.628506839,8845075.1987034138,8893011.5399519559,4239121.3224451626,876804.94295277668,1011466.8898719418,15238.708387406177,18503745.337549031,269895.07467583835,18087.650831119146,,1845271.1952494895,2213575.9368089675,1225258087.7447989,3455627580.59622
6,42 Wholesale Trade,4032991.5504901945,482902.51844738523,2109902.4858184662,29963301.177203462,172230310.17314053,10720223.296302721,9079940.8902697079,8717942.3104163911,15626130.413161773,33953249.923468158,747697.48814930813,,,,,8978376.1238471102,4385465.9623613264,16796326.226513173,19145341.824731287,22269092.242087319,30607574.571110178,22357087.478578497,28831672.307795525,19513817.004841797,1168862.5446744829,598649.52505748044,1291970.1948991967,10102737.276352495,399.51500797200492,699297.69987973606,,24973012.404047757,1583868.2020020047,81150550.842285126,11357872.009277346
7,48-49 Transportation & Warehousing,1691425.8577926259,682056.60645142721,6907620.0159397908,17473769.618687171,86004430.84475401,17744882.690162867,42557348.25903628,25867112.117930669,24708767.191011567,16453452.898127548,1238393.073271706,,,,,3889245.5575022134,1684269.1377228117,6437669.8429687927,7743583.5875676079,10443686.333626511,16494315.090770977,12747759.781456281,16342161.434349863,13030088.672040179,2101301.1321066618,1250466.4635716891,229578.41904327486,6267086.8257480608,418043.10359444853,166425.88048289143,,7277949.1305818073,753852.50249097368,66969767.223688349,49524834.346859343
8,44-45 Retail trade,148378.0235158857,23987.885211878016,749558.182165329,75037438.127500072,24731295.393639978,487903.83572059782,5638341.1124381972,5184721.9157396154,15445603.013197027,15903135.590599667,,,,,,27523253.265647691,13443666.272049472,51489215.725051329,58690132.953533448,68266002.659676269,93827658.972660363,68535755.976098508,88383627.05151546,59819697.258385301,19206.345277775301,375.88202556892855,0,220680.28042158642,149284.39611914614,0,,25762389.978856176,0,0,267741811.75231931
9,51-56 Professional Services,7182820.536898463,2697561.2411616603,14870541.560625622,30215472.676131591,186931674.76796359,61209934.668223344,37435985.797250517,93224884.492687255,693485375.24190652,326725765.07140142,4428472.2788673015,,,,,67376364.515117496,40452611.4227513,116060694.64153208,135818432.17973685,192069123.95727062,280430527.62194616,211204643.90072581,239161606.31306106,154010570.63845411,12608632.037958078,5734689.3599356683,28763760.288539603,69788538.018139526,10025225.16548413,3165168.3364136787,,128400212.75738254,3852.1629932422793,93059283.799130902,564381598.57680535
10,"61-72 Educational, Health, Recreation Service",348891.94170508318,194007.74054354211,2155565.0207693265,4403142.4204744902,34128969.150356136,8854364.3483174983,3709058.7044247729,9333697.86549435,50436952.649046347,68408410.748778224,1218545.9291698868,,,,,76001014.296716362,52855341.184432216,154611804.30652395,179410467.83036825,245899079.6218482,357402060.71850723,261843932.65048119,294151875.63971007,174392805.47394264,2439722.0788198789,384396.71173854143,0,18676663.999977183,4893851.3024749337,0,,1074739.5678679389,0,2721618.8141784593,660627330.04747343
