Regional SAM Balances IO Aggregated Accounts ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receipts,Description,1,2,3,4,5,6,7,8,9,10,11,5001,6001,7001,8001,10001,10002,10003,10004,10005,10006,10007,10008,10009,11001,11002,11003,12001,12002,12003,13001,14001,14002,25001,28001
1,"11 Ag, Forestry, Fish & Hunting",757808.3322850226,161.38908715407411,143.11928490230133,110155.61926679572,704125.07294436765,7189.0707325694875,277.51485592005281,148018.35204811313,1589821.687341444,23595.736447505995,902.44794577282175,,,,,243077.72298461755,136797.56930462807,353719.37764214398,386671.75067467283,540568.45401940937,848412.96723598102,674077.80153953284,858544.02874404367,812250.75559939793,25.519291692712848,579.97823202191785,0,2590772.4284307724,4927.8968188269992,0,,0,9959.8769063128184,2365021.1197535191,33385312.789140467
2,21 Mining,8172.8268269698756,8141331.8196712183,22812205.429682065,38662147.956454627,151862988.2934081,237622.74653356941,9061466.6992134564,144148.14218843784,10148692.571169645,1041241.2531255861,284757.71451741818,,,,,352929.08731354022,202653.29357989234,562966.74659040256,602448.3041693886,886410.92432593531,1306083.6250637576,976781.8471747915,1051700.1733633948,654806.82801197621,221957.58292939159,173087.61713300998,0,2272955.1888905126,21456.667062749195,0,,31217451.302316591,144618.15227187079,52164034.466509916,263752870.51486126
3,22 Utilities,64781.656236396753,11413219.389907973,483692511.14964473,20887375.067841586,720319151.99189544,53273155.740943663,40842702.821076125,89971011.361993462,296670559.86914426,255413540.43096346,6020196.372331515,,,,,81718190.835344315,50963071.75904981,112767111.03614844,107668603.33743443,145270130.24119186,184345416.1454269,128700431.02734166,136297707.69629809,95972938.184521407,4286534.8380208742,2358573.1127179293,0,8314749.7798985466,109895563.41836684,0,,0,0,15562285.317325687,562771192.2748462
4,23 Construction,77071.228518881457,34749256.031281695,19097207.128968064,2550148.6901776758,223214226.45964089,18741513.73676445,43460265.42581065,24112804.532875691,527622651.4690811,94720829.705151409,9705173.2439930253,,,,,20802.634400521831,11189.46585844891,26011.782805851577,25790.673084402428,37571.753487406088,56708.943860838081,44800.418045706341,52166.754616947219,39775.041271991278,64288053.554691963,13141482.999809993,62378539.388250783,222864165.13771424,1297231.6395396192,850134666.33795452,,3578664910.1185207,9079.152253186383,2604896.3572056508,65963643.499399021
5,31-33 Manufacturing,215943.48160984356,13290526.925926784,20661611.494799286,239956943.50930998,2728041155.0025864,34731464.224400356,732399799.75832331,20812335.270719279,135682119.46091884,168320670.3501963,28150127.605517253,,,,,74909309.587226242,38965772.41256097,105167195.79407711,109601135.68816799,161724503.30866998,259053585.10574049,198771829.30306846,215016046.99825358,147810735.55670074,15385282.254095959,18515856.541500639,1098497.4419669586,153798033.63714302,8842575.6046727877,1335104.1417758358,,182476878.78481236,21475659.790998787,12248422543.756081,59148072163.520775
6,42 Wholesale Trade,370611.45969677507,7098131.0269820048,9007280.6123769488,202184736.55534267,3892270340.3251462,136189236.91168401,140394033.33316103,51100519.783090979,189220320.14988983,302369391.82542825,10756262.278470215,,,,,104309035.7405206,44400184.583717816,155040737.0235931,156131378.03263497,181439229.50903419,253666881.39854413,196923300.58553407,273571296.40795106,246856533.32519558,12755513.856351823,7534799.4940861436,14490806.627975779,53405647.302224979,5542.7250347900135,9701800.9892831203,,242292306.53946719,22757257.300850786,1096624145.507812,7050170.8984374711
7,48-49 Transportation & Warehousing,177677.83717890008,25439256.602127872,73115745.186439842,103474522.43178648,1472759248.0063894,302710355.89619374,980585843.80803061,268390821.19309297,351095359.97829199,196847738.04220855,19831632.842826687,,,,,49970458.121133789,18688823.033727773,63913660.804450467,67962880.132541597,92145378.143802121,149069366.20766097,122538869.39483325,170529831.57309172,184207266.1894193,24315650.376738477,15976524.711541908,2548247.4766801982,62590809.22763858,15529571.000517864,2309553.8902790248,,71040018.944022879,11901978.135074141,1383351402.4874716,2968586273.3081779
8,44-45 Retail trade,6720.0581241334285,239144.90983681785,1152402.3300947424,566942709.01387274,256426831.26059213,5479144.4215493463,55104880.314525716,28973340.728994083,130041598.70695065,131122847.87903692,8549.0990512912613,,,,,284506811.04306227,121103169.73718338,422879435.66767907,425854196.82302386,494882304.29898632,691885969.24324822,537115718.64485693,746175979.23921347,673310463.70491898,182158.93330754346,3980.6250926498806,0,985199.37276632246,1870205.4481921434,0,,219575691.41117582,0,0,247082131.14797217
9,51-56 Professional Services,453963.93688984093,63327491.862570539,89758162.379106924,319420559.90261972,3604550200.9682097,1289802171.3413312,759552387.52889407,920358367.76273906,9601905094.0124454,3731579994.0273805,86754221.721787453,,,,,753554869.50621378,393083192.1984362,1019220589.573745,1050120301.4582846,1478027661.5128899,2181142481.1712251,1737219177.7478271,2111375480.3158906,1807580451.7088413,206350894.60349074,137104963.52419418,525994127.31388307,454532364.37270939,187560251.38090122,78899013.883365497,,2118091476.1145387,226218.80893594617,2078573419.9563413,7686385366.9196501
