county,IndustryTypebyOutput
Alcona,S
Allegan,M
Alpena,S
Antrim,S
Arenac,S
Barry,M
Bay,M
Benzie,M
Berrien,M
Branch,M
Calhoun,M
Cass,S
Charlevoix,M
Cheboygan,S
Chippewa,S
Clare,S
Clinton,M
Crawford,S
Delta,M
Dickinson,M
Eaton,S
Emmet,S
Genesee,S
Gladwin,M
Gogebic,S
Grand Traverse,S
Gratiot,M
Hillsdale,M
Houghton,S
Huron,M
Ingham,S
Ionia,M
Iosco,S
Iron,S
Isabella,S
Jackson,M
Kalamazoo,M
Kalkaska,S
Kent,S
Lake,S
Lapeer,M
Leelanau,S
Lenawee,M
Livingston,S
Mackinac,S
Macomb,M
Manistee,S
Marquette,S
Mason,M
Mecosta,M
Menominee,M
Midland,M
Missaukee,M
Monroe,M
Montcalm,M
Muskegon,S
Newaygo,M
Oakland,S
Oceana,M
Ogemaw,S
Osceola,M
Otsego,S
Ottawa,M
Presque Isle,S
Roscommon,M
Saginaw,S
Sanilac,M
Shiawassee,S
St. Clair,M
St. Joseph,M
Tuscola,M
Van Buren,M
Washtenaw,S
Wayne,M
Wexford,M
