County,Population,LandArea,PopDens [Pop/LandArea],Top Industry By Output,Top Industry Code,Top Industry Classified As,TotEmpFTE,ServEmpFTE,GovEmpFTE,OtherEmpFTE,AvgInc,LFP 16+,% Over 25 with BA,% Without HealthINS under 65,% Under 18,% Over 65,% Black,% Hispanic,Cropland 2012 (Acres)
Alcona ,"10,454",675,15.49,Real Estate,440,Service,3506.3,1644.9,305.5,1555.9,"$71,808",40,15.2,8.5,12.6,35.9,0.4,1.5,708
Allegan ,"113,847",828,137.50,Pharmaceutical preparation manufacturing,174,Manufacturing,62838.2,26175.4,5416,31246.8,"$99,783",62.8,22.3,6.4,24.4,16,1.5,7.4,"115,419"
Alpena ,"28,988",574,50.50,Cement manufacturing,205,Manufacturing,15736.4,6338.7,2793.8,6603.9,"$84,686",56.5,17.3,6.1,18.8,23,0.5,1.3,877
Antrim ,"23,267",477,48.78,Canned fruits and vegetables manufacturing,81,Manufacturing,9864.3,4560.2,1109.2,4194.9,"$87,887",53.9,26.9,7.9,18.4,26.5,0.4,2.3,"20,103"
Arenac ,"15,353",367,41.83,"Industrial truck, trailer, and stacker manufacturing",293,Manufacturing,7776,3520.2,681.4,3574.4,"$78,356",50.4,11.6,7.7,18.1,24.6,0.4,2.1,(D)
Barry ,"59,281",556,106.62,Other major household appliance manufacturing,331,Manufacturing,23094.1,10848.3,2278.3,9967.5,"$96,736",62.3,19.5,5.6,22.2,18.1,0.6,3,"24,167"
Bay ,"106,179",444,239.14,Electric power generation - Fossil fuel,42,Manufacturing,47553.5,24696.4,4878.4,17978.7,"$86,900",58.1,19,6,20.4,19.9,1.8,5.4,"19,250"
Benzie ,"17,519",321,54.58,Dehydrated food products manufacturing,83,Manufacturing,8166.9,4457.3,685.9,3023.7,"$85,345",56.2,28.6,7.5,18.4,25.5,0.7,2.6,"4,841"
Berrien ,"155,233",571,271.86,Household laundry equipment manufacturing,330,Manufacturing,83297.3,38875.9,10240.7,34180.7,"$96,864",61.1,26.7,7.6,22,19.3,15.1,5.5,"64,061"
Branch ,"43,545",507,85.89,Secondary processing of other nonferrous materials,228,Manufacturing,19887.8,7256.6,2604,10027.2,"$80,862",57.4,14,8.1,23.4,17.8,2.2,4.7,"118,733"
Calhoun ,"134,878",709,190.24,Other motor vehicle parts manufacturing,356,Manufacturing,68119.6,31057.3,10485.7,26576.6,"$93,645",58.9,21,6.5,23.1,17.4,11.2,5.3,"50,054"
