county,year,grp,tpi,totemp,numind,area,pop,numhh,avghhinc,swindex
Alcona,2014,171255613,348459100,3506,126,675,10454,4853,71808,0.66668
Allegan,2014,4514235879,4270726000,62838,253,828,113847,42800,99783,0.74234
Alpena,2014,980718041,1069259000,15736,180,574,28988,12626,84686,0.69776
Antrim,2014,482305063,856706200,9864,163,477,23267,9748,87887,0.69043
Arenac,2014,385640526,508310500,7776,142,367,15353,6487,78356,0.68386
Barry,2014,1574563483,2180765000,23094,184,556,59281,22543,96736,0.71243
Bay,2014,3518523502,3833202000,47553,232,444,106179,44110,86900,0.72135
Benzie,2014,377505188,623759200,8167,151,321,17519,7309,85345,0.67976
Berrien,2014,6224825841,6118138000,83297,285,571,155233,63162,96864,0.73873
Branch,2014,1387540213,1359943000,19888,191,507,43545,16818,80862,0.70152
Calhoun,2014,6014071879,5118186000,68120,236,709,134878,54655,93645,0.70712
Cass,2014,917271510,1935178000,15215,178,492,51608,20329,95192,0.69207
Charlevoix,2014,932520824,1096574000,13923,180,417,26121,10944,100203,0.69099
Cheboygan,2014,534245303,858828200,11274,167,716,25675,10989,78150,0.69405
Chippewa,2014,1080606571,1256835000,17309,169,1561,38321,16192,77621,0.64358
Clare,2014,653661128,963824500,12646,158,567,30652,12842,75054,0.69205
Clinton,2014,1888966129,2997215000,30590,184,572,77297,29395,101965,0.72739
Crawford,2014,351151520,425078100,5955,131,558,13745,5883,72253,0.67159
Delta,2014,1209418921,1258834000,18363,202,1170,36559,15854,79402,0.71889
Dickinson,2014,1279387380,1171650000,16830,174,766,25957,11356,103175,0.69717
Eaton,2014,4121494597,3958545000,47918,222,577,108579,43998,89971,0.70324
Emmet,2014,1495503657,1464753000,23958,194,468,33204,13852,105741,0.68603
Genesee,2014,13222270507,13942300000,191473,283,640,412895,164614,84697,0.72597
Gladwin,2014,393022724,737479800,6032,148,507,25411,10646,69273,0.67604
Gogebic,2014,438756106,554838100,7646,147,1102,15737,7374,75240,0.6593
Grand Traverse,2014,4560526033,3884008000,68458,251,465,90782,37556,103419,0.73558
Gratiot,2014,1399336042,1416030000,18801,184,570,41665,16544,85590,0.70922
Hillsdale,2014,1265938895,1449760000,19643,196,599,45830,17911,80945,0.71891
Houghton,2014,1002930132,1170398000,16312,173,1012,36495,15161,77197,0.67357
Huron,2014,1249072380,1375778000,17023,194,837,32065,13966,98506,0.71333
Ingham,2014,16158561104,10552820000,187304,260,559,284582,119227,88510,0.71237
Ionia,2014,1614456403,1822389000,27743,190,573,64294,24079,75683,0.66226
Iosco,2014,606574609,862315600,10377,164,549,25420,11582,74451,0.68037
Iron,2014,280997626,430478400,5132,140,1167,11387,5465,78765,0.66029
Isabella,2014,2333899028,2287736000,39853,193,574,70616,28040,81587,0.6651
Jackson,2014,6047972454,5600919000,73738,245,707,159741,63686,87946,0.72933
Kalamazoo,2014,12805025064,10527220000,150382,289,562,258818,106626,98731,0.7358
Kalkaska,2014,405889845,544087400,6225,133,561,17394,7048,77193,0.63655
Kent,2014,36558389931,26433820000,453751,382,856,629237,239287,110469,0.74536
Lake,2014,138797032,343531700,3132,116,568,11341,5191,66175,0.63098
Lapeer,2014,1851551337,3121427000,31704,219,654,88153,33015,94546,0.72768
Leelanau,2014,559092655,1157722000,10851,159,349,21915,9380,123423,0.65619
Lenawee,2014,2691749928,3477272000,39802,233,751,99047,38861,89479,0.73801
Livingston,2014,5918674593,8453330000,80453,269,568,185596,68728,122996,0.73004
Mackinac,2014,361950038,437557900,6409,152,1022,11042,4985,87771,0.63409
Macomb,2014,38609720132,33705970000,405135,368,480,860112,338813,99483,0.74804
Manistee,2014,632235338,814533200,11086,163,544,24420,10636,76579,0.67693
Marquette,2014,2729286630,2438120000,34472,196,1821,67676,29608,82348,0.69646
Mason,2014,996578610,1042491000,15617,175,495,28824,12025,86694,0.71576
Mecosta,2014,1319127289,1301364000,19664,178,556,43186,17428,74670,0.66477
Menominee,2014,676091637,831786100,11463,169,1044,23714,10375,80175,0.67563
Midland,2014,4340675787,3930861000,50618,208,521,83427,33531,117230,0.69486
Missaukee,2014,340111151,438355700,5796,140,567,15037,5923,74005,0.66663
Monroe,2014,4898733085,6031727000,59624,244,551,149824,57195,105459,0.73464
Montcalm,2014,1656285811,1762055000,20908,186,708,62893,24196,72824,0.68981
Muskegon,2014,5667016796,5709559000,82779,262,509,172344,67353,84771,0.73329
Newaygo,2014,1093579139,1521974000,16703,172,842,47900,18215,83554,0.69933
Oakland,2014,93031374724,74231220000,946752,424,873,1237868,497528,149200,0.73529
Oceana,2014,649786450,913596700,10038,154,541,26221,10049,90917,0.66244
Ogemaw,2014,441386200,634900700,8480,162,564,21039,9005,70504,0.66465
Osceola,2014,546087288,654037500,7844,159,566,23169,9163,71377,0.68202
Otsego,2014,821618265,840871200,13664,175,515,24158,9789,85897,0.69923
Ottawa,2014,11242419202,10673430000,145325,323,566,276292,100066,106665,0.76233
Presque Isle,2014,273427660,430621100,4867,141,660,13004,5844,73682,0.67893
Roscommon,2014,412401365,789497700,7193,145,521,23955,11225,70333,0.64774
Saginaw,2014,7756269794,6810764000,105965,252,809,195012,79022,86188,0.72672
Sanilac,2014,1098227950,1453587000,17172,183,964,41587,16580,87671,0.70236
Shiawassee,2014,1460532757,2192402000,22092,193,539,68933,26833,81705,0.68056
St. Clair,2014,4936029442,5908758000,62789,251,725,160078,62807,94078,0.73872
St. Joseph,2014,2073916498,2002750000,31706,205,504,60946,23177,86412,0.68796
Tuscola,2014,1171279000,1709147000,16830,185,813,54000,21187,80669,0.69554
Van Buren,2014,1993320122,2537639000,26693,208,611,75199,28487,89080,0.68002
Washtenaw,2014,20836267878,16208420000,250081,311,710,356874,148257,109326,0.68204
