County,LFPover16,PctOver25with BA,PctNoHealthINSunder65,PctUnder18,PctOver65,PctBlack,PctHisp,CropAcres
Alcona,40,15.2,8.5,12.6,35.9,0.4,1.5,708
Allegan,62.8,22.3,6.4,24.4,16,1.5,7.4,115419
Alpena,56.5,17.3,6.1,18.8,23,0.5,1.3,877
Antrim,53.9,26.9,7.9,18.4,26.5,0.4,2.3,20103
Arenac,50.4,11.6,7.7,18.1,24.6,0.4,2.1,0
Barry,62.3,19.5,5.6,22.2,18.1,0.6,3,24167
Bay,58.1,19,6,20.4,19.9,1.8,5.4,19250
Benzie,56.2,28.6,7.5,18.4,25.5,0.7,2.6,4841
Berrien,61.1,26.7,7.6,22,19.3,15.1,5.5,64061
Branch,57.4,14,8.1,23.4,17.8,2.2,4.7,118733
Calhoun,58.9,21,6.5,23.1,17.4,11.2,5.3,50054
Cass,60.1,18.1,7.7,20.9,20.4,5.3,3.9,118427
Charlevoix,58.7,30.3,7.4,19.4,23.6,0.5,1.9,2147
Cheboygan,54.1,19.5,9.1,16.8,26.6,0.7,1.5,3865
Chippewa,51.7,20.7,8.9,18.4,17.5,6.9,1.9,798
Clare,49.1,12.1,8.8,19.8,23.5,0.7,2,4485
Clinton,62.7,31.5,4.5,22.5,16.3,2,4.5,39707
Crawford,49.2,17.6,7.2,18.3,25,0.9,2,130
Delta,56.6,20.7,7.1,20,23.5,0.4,1.3,4838
Dickinson,55.8,25.5,5.7,20,21.7,0.5,1.5,2333
Eaton,63.4,26.1,5.2,21.1,18.1,7,5.3,11513
Emmet,63.5,32.9,7.4,19.6,21.8,0.7,1.7,2546
Genesee,57.2,20.4,6.4,22.7,17,20.3,3.4,7215
Gladwin,45.5,13.6,8.4,18.8,26.3,0.5,1.7,3535
Gogebic,47.4,18.4,7.3,15.7,24.9,4.4,1.4,870
Grand Traverse,64.4,34.2,6.8,20.5,19.2,0.7,2.9,14278
Gratiot,48.5,14.7,6,20,16.9,6,6.2,68498
Hillsdale,55.8,16.8,6.8,21.9,19.1,0.6,2.3,49007
Houghton,54.8,32.9,7,20.2,17,0.9,1.6,2166
Huron,56.7,15.5,7,19.3,24.6,0.5,2.4,34165
Ingham,63.7,38.4,6.9,19.9,13.1,12.1,7.7,5858
Ionia,58.4,16.2,6.4,22.4,14.4,4.8,4.9,32001
Iosco,45.7,16.6,7.8,16.7,29.1,0.7,2.2,225
Iron,48,18.5,6.9,16.4,30.2,0.3,2.1,5718
Isabella,62,29.4,8.9,17.2,12.1,2.8,3.9,11471
Jackson,56.9,21.1,6.1,21.7,17.3,8.1,3.5,27815
Kalamazoo,66.1,37.2,6.6,21.7,14.6,11.7,4.9,83898
Kalkaska,54,12.5,7.6,21,20.2,0.5,2.1,4658
Kent,68.5,34.7,6.9,24.4,13.2,10.5,10.6,37242
Lake,39.9,11.4,8.7,16.1,27.4,9.5,2.7,194
Lapeer,58.2,18.4,6.8,21,17.5,1.2,4.7,10716
Leelanau,56.5,40.8,7.9,16.4,29.9,0.7,4.4,13043
Lenawee,59,20.5,6.3,21.3,18.4,3,8,33850
Livingston,66,34.7,3.9,21.7,16.5,0.6,2.4,6246
Mackinac,54.8,19.1,11.7,15.9,27.3,2.7,1.7,245
Macomb,63.3,24.2,6.2,21.3,16.6,12,2.6,9595
Manistee,49.3,20.5,8.1,17.6,25.1,3.3,3.1,7211
Marquette,56.3,30.8,5.4,18.1,18.6,1.5,1.5,1071
Mason,57.1,22.2,7.2,20.3,22.9,0.9,4.6,14235
Mecosta,55.3,21.7,7.5,18.6,18,2.9,2.2,29129
Menominee,58,15.8,7.5,18.3,23.8,0.7,1.8,437
Midland,60.5,34.1,5.6,21.5,17.9,1.5,2.8,6795
Missaukee,56.1,13.4,8.3,23.1,20.2,0.6,2.9,34578
Monroe,60.8,18.6,5.1,21.5,17.6,2.5,3.6,33127
Montcalm,55.3,12.8,7.2,22.6,17.1,2.4,3.5,120214
Muskegon,58.9,18.6,6.1,23.3,16.4,14.4,5.7,29952
Newaygo,54.6,15,7.6,22.6,18.8,1.2,5.8,22247
Oakland,66.2,45.7,5.2,21.3,16.4,14.2,4,3304
Oceana,55.5,18.1,10.4,23.2,20.5,1.1,14.9,46552
Ogemaw,49,11.8,8,18.6,25.4,0.4,2.2,1047
Osceola,52.1,12.4,7.4,22.6,20.7,0.9,1.8,6130
Otsego,59,22,7.1,21.5,20.4,0.5,1.7,4405
Ottawa,68.4,32.5,5.1,24.2,14.6,1.8,9.7,59461
Presque Isle,46.2,16.2,8.1,16,30.6,0.7,1.4,5307
Roscommon,42.3,14.2,8,14.9,32.1,0.6,1.8,1714
Saginaw,57.2,21.1,6,21.5,18.8,19.3,8.4,25679
Sanilac,56.9,13.9,8.2,21.7,21,0.6,3.6,12655
Shiawassee,59.5,16.2,5.9,21.4,17.9,0.7,2.9,7670
St. Clair,60.5,18,6.6,21.1,18.3,2.6,3.4,3156
St. Joseph,61.4,15.4,8.3,24.7,17.6,2.7,7.9,174730
Tuscola,56.8,13.8,6.3,20.6,19.8,1.3,3.4,28878
Van Buren,60.3,20.6,8.2,23.6,17.6,4,11.6,89061
Washtenaw,64.7,54.3,4.9,18.7,13.4,12.4,4.7,21870
Wayne,58.8,22.8,7.1,23.7,15.1,39,5.9,2393
Wexford,57.2,17.6,7.7,23.5,18.7,0.6,1.9,3554
