county,industry,description,notused1,notused2,employment,laborinc,output
Alcona,440,Real estate,,,254,1400644,20528580
Alcona,509,Personal care services,,,180,2727907,4931309
Alcona,533,"* Employment and payroll of local govt, non-education",,,162,7973342,8982431
Alcona,475,Offices of physicians,,,143,10693350,16980270
Alcona,10,All other crop farming,,,97,596207,1934410
Alcona,468,Services to buildings,,,89,643304,1860350
Alcona,407,Retail - Nonstore retailers,,,81,725244,6769278
Alcona,395,Wholesale trade,,,79,1381115,10826860
Alcona,279,"Special tool, die, jig, and fixture manufacturing",,,75,6043680,13247640
Alcona,20,Extraction of natural gas and crude petroleum,,,72,102692,11604300
Allegan,440,Real estate,,,2986,18547350,278760400
Allegan,174,Pharmaceutical preparation manufacturing,,,2774,261842000,3262593000
Allegan,534,"* Employment and payroll of local govt, education",,,2407,141481900,159253200
Allegan,395,Wholesale trade,,,2206,112416700,419980500
Allegan,375,"Office furniture, except wood, manufacturing",,,1921,140692400,790714300
Allegan,512,Other personal services,,,1558,26478770,35639040
Allegan,411,Truck transportation,,,1439,74218430,218043000
Allegan,501,Full-service restaurants,,,1401,26603500,57840420
Allegan,465,Business support services,,,1287,36242770,60914070
Allegan,407,Retail - Nonstore retailers,,,1108,5064710,76711670
Alpena,533,"* Employment and payroll of local govt, non-education",,,1366,77787570,87632200
Alpena,534,"* Employment and payroll of local govt, education",,,900,60109250,67659500
Alpena,485,Individual and family services,,,610,18068360,22754990
Alpena,400,Retail - Food and beverage stores,,,490,12237670,30430280
Alpena,395,Wholesale trade,,,478,24839220,92497420
Alpena,440,Real estate,,,472,4189553,57060430
Alpena,405,Retail - General merchandise stores,,,468,13102030,35467380
Alpena,468,Services to buildings,,,389,1642487,6988131
Alpena,501,Full-service restaurants,,,358,6889821,14920940
Alpena,531,"* Employment and payroll of state govt, non-education",,,290,27375030,31078050
Antrim,440,Real estate,,,674,4474253,70979060
Antrim,533,"* Employment and payroll of local govt, non-education",,,512,23845880,26863770
