Bay,,"Copyright 2019 Minnesota IMPLAN Group, Inc.",,,,
,,,,,,
Model Information,,,,,,
Model Year,,2014,,Value Added,,
GRP,,3518523502,,Employee Compensation,,1983673629
Total Personal Income,,3833202000,,Proprietor Income,,171801993
Total Employment,,47553,,Other Property Type Income,,1005860959
,,,,Tax on Production and Import,,357186921
Number of Industries,,232,,,,
Land Area (Sq. Miles),,444,,Total Value Added,,3518523502
Area Count,,1,,,,
,,,,Final Demand,,
Population,,106179,,Households,,3883387303
Total Households,,44110,,State/Local Government,,640486880
Average Household Income,,86900,,Federal Government,,102284315
,,,,Capital,,526354917
Trade Flows Method,,Trade Flows Model,,Exports,,3251899390
Model Status,,Multipliers,,Imports,,-4707110937
,,,,Institutional Sales,,-178778359
Economic Indicators,,,,,,
Shannon-Weaver Index,,0.72135,,Total Final Demand:,,3518523509
,,,,,,
Top Ten Industries,,,,,,
Sector,Description,,,Employment,Labor Income,Output
534,"* Employment and payroll of local govt, education",,,3018,191405600,215447900
502,Limited-service restaurants,,,2360,34315180,167345500
482,Hospitals,,,1617,138795300,251037700
405,Retail - General merchandise stores,,,1557,37984520,111253300
533,"* Employment and payroll of local govt, non-education",,,1549,84451350,95139340
395,Wholesale trade,,,1543,88697700,310715600
501,Full-service restaurants,,,1406,21093460,52726080
440,Real estate,,,1263,6800923,135228100
483,Nursing and community care facilities,,,1097,32161090,60945840
503,All other food and drinking places,,,938,17631500,28819330
,,,,,,
Areas In the Model,,,,,,
Michigan                 ,Bay County               ,,,,,
