Clinton,,"Copyright 2019 Minnesota IMPLAN Group, Inc.",,,,
,,,,,,
Model Information,,,,,,
Model Year,,2014,,Value Added,,
GRP,,1888966129,,Employee Compensation,,856396612
Total Personal Income,,2997215000,,Proprietor Income,,225520973
Total Employment,,30590,,Other Property Type Income,,609483644
,,,,Tax on Production and Import,,197564900
Number of Industries,,184,,,,
Land Area (Sq. Miles),,572,,Total Value Added,,1888966129
Area Count,,1,,,,
,,,,Final Demand,,
Population,,77297,,Households,,2981929800
Total Households,,29395,,State/Local Government,,239024897
Average Household Income,,101965,,Federal Government,,65445665
,,,,Capital,,803630082
Trade Flows Method,,Trade Flows Model,,Exports,,1614636797
Model Status,,Multipliers,,Imports,,-3726566306
,,,,Institutional Sales,,-89134807
Economic Indicators,,,,,,
Shannon-Weaver Index,,0.72739,,Total Final Demand:,,1888966128
,,,,,,
Top Ten Industries,,,,,,
Sector,Description,,,Employment,Labor Income,Output
440,Real estate,,,1542,7621480,148573500
534,"* Employment and payroll of local govt, education",,,1243,80799840,90949020
395,Wholesale trade,,,1213,66937780,240139500
405,Retail - General merchandise stores,,,819,21195440,59979700
154,Printing,,,758,31683230,108771600
502,Limited-service restaurants,,,677,11200250,50131050
407,Retail - Nonstore retailers,,,667,4630699,51083810
512,Other personal services,,,560,11520570,16298260
469,Landscape and horticultural services,,,536,13876610,25956960
12,Dairy cattle and milk production,,,524,41583620,171907700
,,,,,,
Areas In the Model,,,,,,
Michigan                 ,Clinton County           ,,,,,
