Ionia,,"Copyright 2019 Minnesota IMPLAN Group, Inc.",,,,
,,,,,,
Model Information,,,,,,
Model Year,,2014,,Value Added,,
GRP,,1614456403,,Employee Compensation,,857624922
Total Personal Income,,1822389000,,Proprietor Income,,125554143
Total Employment,,27743,,Other Property Type Income,,469494471
,,,,Tax on Production and Import,,161782866
Number of Industries,,190,,,,
Land Area (Sq. Miles),,573,,Total Value Added,,1614456403
Area Count,,1,,,,
,,,,Final Demand,,
Population,,64294,,Households,,2119851223
Total Households,,24079,,State/Local Government,,407105683
Average Household Income,,75683,,Federal Government,,27040082
,,,,Capital,,384287410
Trade Flows Method,,Trade Flows Model,,Exports,,2396853977
Model Status,,Multipliers,,Imports,,-3614903142
,,,,Institutional Sales,,-105778833
Economic Indicators,,,,,,
Shannon-Weaver Index,,0.66226,,Total Final Demand:,,1614456401
,,,,,,
Top Ten Industries,,,,,,
Sector,Description,,,Employment,Labor Income,Output
464,Employment services,,,3675,31460420,83990100
346,Motor vehicle body manufacturing,,,2559,154259200,789890900
534,"* Employment and payroll of local govt, education",,,1048,70736740,79621910
531,"* Employment and payroll of state govt, non-education",,,1028,88679910,100675600
533,"* Employment and payroll of local govt, non-education",,,841,40880320,46054040
440,Real estate,,,666,2661019,54473430
405,Retail - General merchandise stores,,,571,14930930,42007610
502,Limited-service restaurants,,,534,7701379,37715020
400,Retail - Food and beverage stores,,,527,12837870,32345740
433,Monetary authorities and depository credit intermediation,,,520,27370630,72807410
,,,,,,
Areas In the Model,,,,,,
Michigan                 ,Ionia County             ,,,,,
