Midland,,"Copyright 2019 Minnesota IMPLAN Group, Inc.",,,,
,,,,,,
Model Information,,,,,,
Model Year,,2014,,Value Added,,
GRP,,4340675787,,Employee Compensation,,2777427380
Total Personal Income,,3930861000,,Proprietor Income,,168414575
Total Employment,,50618,,Other Property Type Income,,981851603
,,,,Tax on Production and Import,,412982229
Number of Industries,,208,,,,
Land Area (Sq. Miles),,521,,Total Value Added,,4340675787
Area Count,,1,,,,
,,,,Final Demand,,
Population,,83427,,Households,,3309721693
Total Households,,33531,,State/Local Government,,421236824
Average Household Income,,117230,,Federal Government,,35331875
,,,,Capital,,955476777
Trade Flows Method,,Trade Flows Model,,Exports,,8994677674
Model Status,,Multipliers,,Imports,,-9216160842
,,,,Institutional Sales,,-159608218
Economic Indicators,,,,,,
Shannon-Weaver Index,,0.69486,,Total Final Demand:,,4340675782
,,,,,,
Top Ten Industries,,,,,,
Sector,Description,,,Employment,Labor Income,Output
166,Plastics material and resin manufacturing,,,3584,495263600,5621045000
461,Management of companies and enterprises,,,3002,585784500,911002000
464,Employment services,,,2574,180715700,267859600
482,Hospitals,,,2446,166111500,332704500
534,"* Employment and payroll of local govt, education",,,1786,109128000,122835400
440,Real estate,,,1439,15172630,184079300
517,Private households,,,1323,8720628,8720628
502,Limited-service restaurants,,,1254,19081230,90306870
405,Retail - General merchandise stores,,,1195,28967360,85173800
501,Full-service restaurants,,,986,18070970,40065680
,,,,,,
Areas In the Model,,,,,,
Michigan                 ,Midland County           ,,,,,
