Oakland,,"Copyright 2019 Minnesota IMPLAN Group, Inc.",,,,
,,,,,,
Model Information,,,,,,
Model Year,,2014,,Value Added,,
GRP,,93031374724,,Employee Compensation,,52110767483
Total Personal Income,,74231220000,,Proprietor Income,,7636990634
Total Employment,,946752,,Other Property Type Income,,27341263151
,,,,Tax on Production and Import,,5942353457
Number of Industries,,424,,,,
Land Area (Sq. Miles),,873,,Total Value Added,,93031374724
Area Count,,1,,,,
,,,,Final Demand,,
Population,,1237868,,Households,,55200616502
Total Households,,497528,,State/Local Government,,5700420108
Average Household Income,,149200,,Federal Government,,950297269
,,,,Capital,,12460040432
Trade Flows Method,,Trade Flows Model,,Exports,,70700822650
Model Status,,Multipliers,,Imports,,-50209230264
,,,,Institutional Sales,,-1771592023
Economic Indicators,,,,,,
Shannon-Weaver Index,,0.73529,,Total Final Demand:,,93031374674
,,,,,,
Top Ten Industries,,,,,,
Sector,Description,,,Employment,Labor Income,Output
449,"Architectural, engineering, and related services",,,46601,4262246000,7274680000
395,Wholesale trade,,,43225,4844777000,12267420000
440,Real estate,,,42475,1387714000,10859840000
464,Employment services,,,34540,1799914000,2764225000
482,Hospitals,,,33316,2378277000,4655369000
501,Full-service restaurants,,,25118,544465700,1099721000
534,"* Employment and payroll of local govt, education",,,23837,1789602000,2014392000
502,Limited-service restaurants,,,21941,390750500,1689151000
436,Other financial investment activities,,,17916,346110400,2322202000
475,Offices of physicians,,,16827,1552121000,2282077000
,,,,,,
Areas In the Model,,,,,,
Michigan                 ,Oakland County           ,,,,,
