Gratiot,,"Copyright 2019 Minnesota IMPLAN Group, Inc.",,,,
,,,,,,
Model Information,,,,,,
Model Year,,2014,,Value Added,,
GRP,,1399336042,,Employee Compensation,,686712527
Total Personal Income,,1416030000,,Proprietor Income,,215047108
Total Employment,,18801,,Other Property Type Income,,383964691
,,,,Tax on Production and Import,,113611717
Number of Industries,,184,,,,
Land Area (Sq. Miles),,570,,Total Value Added,,1399336042
Area Count,,1,,,,
,,,,Final Demand,,
Population,,41665,,Households,,1386881055
Total Households,,16544,,State/Local Government,,275842387
Average Household Income,,85590,,Federal Government,,15311294
,,,,Capital,,210662748
Trade Flows Method,,Trade Flows Model,,Exports,,1865460644
Model Status,,Multipliers,,Imports,,-2276482881
,,,,Institutional Sales,,-78339211
Economic Indicators,,,,,,
Shannon-Weaver Index,,0.70922,,Total Final Demand:,,1399336037
,,,,,,
Top Ten Industries,,,,,,
Sector,Description,,,Employment,Labor Income,Output
166,Plastics material and resin manufacturing,,,257,17456990,380719300
395,Wholesale trade,,,747,124225800,235249700
441,Owner-occupied dwellings,,,0,0,149874900
183,Printing ink manufacturing,,,292,19620720,126009600
12,Dairy cattle and milk production,,,282,27247670,121100700
49,Electric power transmission and distribution,,,87,10881990,113163900
353,Motor vehicle transmission and power train parts manufacturing,,,189,11642600,108372000
106,Bottled and canned soft drinks & water,,,97,3940405,70592500
534,"* Employment and payroll of local govt, education",,,1020,62649530,70518860
2,Grain farming,,,188,4356280,69234340
,,,,,,
Areas In the Model,,,,,,
Michigan                 ,Gratiot County           ,,,,,
