Houghton,,"Copyright 2019 Minnesota IMPLAN Group, Inc.",,,,
,,,,,,
Model Information,,,,,,
Model Year,,2014,,Value Added,,
GRP,,1002930132,,Employee Compensation,,628647801
Total Personal Income,,1170398000,,Proprietor Income,,43576338
Total Employment,,16312,,Other Property Type Income,,238601987
,,,,Tax on Production and Import,,92104006
Number of Industries,,173,,,,
Land Area (Sq. Miles),,1012,,Total Value Added,,1002930132
Area Count,,1,,,,
,,,,Final Demand,,
Population,,36495,,Households,,1248924207
Total Households,,15161,,State/Local Government,,458333054
Average Household Income,,77197,,Federal Government,,54698317
,,,,Capital,,279102662
Trade Flows Method,,Trade Flows Model,,Exports,,600472660
Model Status,,Multipliers,,Imports,,-1524549509
,,,,Institutional Sales,,-114051259
Economic Indicators,,,,,,
Shannon-Weaver Index,,0.67357,,Total Final Demand:,,1002930132
,,,,,,
Top Ten Industries,,,,,,
Sector,Description,,,Employment,Labor Income,Output
482,Hospitals,,,1171,75091240,154512600
166,Plastics material and resin manufacturing,,,92,6798154,136243900
441,Owner-occupied dwellings,,,0,0,133809000
532,"* Employment and payroll of state govt, education",,,1511,90798980,102832900
531,"* Employment and payroll of state govt, non-education",,,922,87632200,99486220
534,"* Employment and payroll of local govt, education",,,500,40072250,45105680
395,Wholesale trade,,,249,11009690,45032250
440,Real estate,,,346,2172396,44644090
49,Electric power transmission and distribution,,,29,3483593,37200560
264,Construction machinery manufacturing,,,56,2477955,37086060
,,,,,,
Areas In the Model,,,,,,
Michigan                 ,Houghton County          ,,,,,
