Iron,,"Copyright 2019 Minnesota IMPLAN Group, Inc.",,,,
,,,,,,
Model Information,,,,,,
Model Year,,2014,,Value Added,,
GRP,,280997626,,Employee Compensation,,166673460
Total Personal Income,,430478400,,Proprietor Income,,15557077
Total Employment,,5132,,Other Property Type Income,,70458282
,,,,Tax on Production and Import,,28308806
Number of Industries,,140,,,,
Land Area (Sq. Miles),,1167,,Total Value Added,,280997626
Area Count,,1,,,,
,,,,Final Demand,,
Population,,11387,,Households,,426618957
Total Households,,5465,,State/Local Government,,102572785
Average Household Income,,78765,,Federal Government,,5032340
,,,,Capital,,78429946
Trade Flows Method,,Trade Flows Model,,Exports,,178607231
Model Status,,Multipliers,,Imports,,-481423799
,,,,Institutional Sales,,-28839836
Economic Indicators,,,,,,
Shannon-Weaver Index,,0.66029,,Total Final Demand:,,280997624
,,,,,,
Top Ten Industries,,,,,,
Sector,Description,,,Employment,Labor Income,Output
441,Owner-occupied dwellings,,,0,0,44962660
482,Hospitals,,,310,19065930,40011460
271,All other industrial machinery manufacturing,,,125,5660704,28832480
533,"* Employment and payroll of local govt, non-education",,,553,24833490,27976360
141,"Other millwork, including flooring",,,126,5592551,21790610
440,Real estate,,,157,1023082,17526740
433,Monetary authorities and depository credit intermediation,,,113,5391129,14758720
511,Dry-cleaning and laundry services,,,154,8814119,14120790
395,Wholesale trade,,,82,2675559,13184370
461,Management of companies and enterprises,,,82,4213049,11998370
,,,,,,
Areas In the Model,,,,,,
Michigan                 ,Iron County              ,,,,,
