Isabella,,"Copyright 2019 Minnesota IMPLAN Group, Inc.",,,,
,,,,,,
Model Information,,,,,,
Model Year,,2014,,Value Added,,
GRP,,2333899028,,Employee Compensation,,1477711052
Total Personal Income,,2287736000,,Proprietor Income,,142753015
Total Employment,,39853,,Other Property Type Income,,564611610
,,,,Tax on Production and Import,,148823350
Number of Industries,,193,,,,
Land Area (Sq. Miles),,574,,Total Value Added,,2333899028
Area Count,,1,,,,
,,,,Final Demand,,
Population,,70616,,Households,,2285948666
Total Households,,28040,,State/Local Government,,916530071
Average Household Income,,81587,,Federal Government,,50980964
,,,,Capital,,670736874
Trade Flows Method,,Trade Flows Model,,Exports,,2189773304
Model Status,,Multipliers,,Imports,,-3485475820
,,,,Institutional Sales,,-294595052
Economic Indicators,,,,,,
Shannon-Weaver Index,,0.6651,,Total Final Demand:,,2333899007
,,,,,,
Top Ten Industries,,,,,,
Sector,Description,,,Employment,Labor Income,Output
264,Construction machinery manufacturing,,,745,42335280,505030300
526,Other local government enterprises,,,1821,93692530,421988500
277,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",,,936,56656610,359135400
532,"* Employment and payroll of state govt, education",,,5677,292859900,331673700
441,Owner-occupied dwellings,,,0,0,246847800
440,Real estate,,,1174,14065190,150936200
134,Sawmills,,,422,31833860,126573900
350,Motor vehicle gasoline engine and engine parts manufacturing,,,200,14749830,125244500
534,"* Employment and payroll of local govt, education",,,1722,104499000,117625000
411,Truck transportation,,,761,35837990,113005900
,,,,,,
Areas In the Model,,,,,,
Michigan                 ,Isabella County          ,,,,,
