Van Buren,,"Copyright 2019 Minnesota IMPLAN Group, Inc.",,,,
,,,,,,
Model Information,,,,,,
Model Year,,2014,,Value Added,,
GRP,,1993320122,,Employee Compensation,,1132279038
Total Personal Income,,2537639000,,Proprietor Income,,104764924
Total Employment,,26693,,Other Property Type Income,,574811257
,,,,Tax on Production and Import,,181464903
Number of Industries,,208,,,,
Land Area (Sq. Miles),,611,,Total Value Added,,1993320122
Area Count,,1,,,,
,,,,Final Demand,,
Population,,75199,,Households,,2511808641
Total Households,,28487,,State/Local Government,,604049279
Average Household Income,,89080,,Federal Government,,31822191
,,,,Capital,,340704384
Trade Flows Method,,Trade Flows Model,,Exports,,2196258284
Model Status,,Multipliers,,Imports,,-3536849942
,,,,Institutional Sales,,-154472708
Economic Indicators,,,,,,
Shannon-Weaver Index,,0.68002,,Total Final Demand:,,1993320130
,,,,,,
Top Ten Industries,,,,,,
Sector,Description,,,Employment,Labor Income,Output
43,Electric power generation - Nuclear,,,702,117074400,590021000
81,Canned fruits and vegetables manufacturing,,,627,24662580,304826600
456,Scientific research and development services,,,1321,84312910,276327200
441,Owner-occupied dwellings,,,0,0,276060800
534,"* Employment and payroll of local govt, education",,,2137,134885400,151828200
42,Electric power generation - Fossil  fuel,,,106,17078760,148336700
395,Wholesale trade,,,599,35988450,123042500
533,"* Employment and payroll of local govt, non-education",,,1988,104475200,117697400
461,Management of companies and enterprises,,,579,48814000,105370700
4,Fruit farming,,,1288,47718540,69043880
,,,,,,
Areas In the Model,,,,,,
Michigan                 ,Van Buren County         ,,,,,
